timestamps,X,Y,Z,Marker0
1562953188.008,1.338,-1.959,-1.735,0
1562953188.028,1.555,-2.183,-1.637,0
1562953188.047,1.877,-2.243,-1.757,0
1562953188.067,1.802,-2.026,-1.884,0
1562953188.087,1.540,-1.929,-2.094,0
1562953188.107,1.017,-1.981,-2.340,0
1562953188.127,0.718,-2.034,-2.333,0
1562953188.146,1.092,-2.191,-2.146,0
1562953188.166,1.458,-2.026,-1.959,0
1562953188.186,1.712,-1.802,-1.690,0
1562953188.206,1.697,-1.630,-1.622,0
1562953188.225,1.570,-1.652,-1.652,0
1562953188.245,1.406,-1.742,-1.667,0
1562953188.265,1.256,-1.787,-1.735,0
1562953188.285,1.226,-1.907,-1.922,0
1562953188.305,1.264,-1.922,-2.019,0
1562953188.324,1.249,-1.854,-2.094,0
1562953188.344,1.443,-1.750,-1.922,0
1562953188.364,1.555,-1.750,-1.794,0
1562953188.384,1.413,-1.832,-1.660,0
1562953188.404,1.353,-2.011,-1.563,0
1562953188.423,1.346,-2.041,-1.578,0
1562953188.443,1.361,-1.944,-1.667,0
1562953188.463,1.413,-1.884,-1.720,0
1562953188.483,1.458,-1.817,-1.802,0
1562953188.502,1.323,-1.735,-1.869,0
1562953188.522,1.219,-1.705,-1.839,0
1562953188.542,1.166,-1.854,-1.794,0
1562953188.562,1.226,-1.966,-1.809,0
1562953188.582,1.376,-2.041,-1.899,0
1562953188.601,1.398,-1.884,-1.951,0
1562953188.621,1.383,-1.839,-1.981,0
1562953188.641,1.406,-1.869,-1.914,0
1562953188.661,1.376,-1.854,-1.787,0
1562953188.681,1.368,-1.779,-1.787,0
1562953188.700,1.368,-1.794,-1.712,0
1562953188.720,1.376,-1.892,-1.809,0
1562953188.740,1.443,-1.996,-1.929,0
1562953188.760,1.413,-2.019,-1.951,0
1562953188.779,1.383,-1.974,-1.907,0
1562953188.799,1.331,-1.877,-1.802,0
1562953188.819,1.368,-1.869,-1.727,0
1562953188.839,1.346,-1.809,-1.585,0
1562953188.859,1.480,-1.817,-1.667,0
1562953188.878,1.525,-1.824,-1.720,0
1562953188.898,1.450,-1.824,-1.809,0
1562953188.918,1.331,-1.966,-1.892,0
1562953188.938,1.308,-2.191,-1.974,0
1562953188.957,1.450,-2.153,-2.004,0
