timestamps,X,Y,Z,Marker0
1574372191.573,-0.314,0.456,-2.116,0
1574372191.592,-0.344,0.449,-2.176,0
1574372191.612,-0.366,0.329,-2.258,0
1574372191.632,-0.411,0.329,-2.228,0
1574372191.652,-0.501,0.471,-2.191,0
1574372191.671,-0.381,0.471,-2.131,0
1574372191.691,-0.284,0.508,-2.064,0
1574372191.711,-0.232,0.531,-2.116,0
1574372191.730,-0.254,0.479,-2.363,0
1574372191.750,-0.426,0.374,-2.460,0
1574372191.770,-0.523,0.067,-2.437,0
1574372191.790,-0.650,-0.150,-2.340,0
1574372191.809,-0.837,-0.247,-2.213,0
1574372191.829,-0.935,-0.224,-1.996,0
1574372191.849,-0.822,0.067,-1.974,0
1574372191.868,-0.426,0.710,-1.989,0
1574372191.888,-0.105,1.241,-2.086,0
1574372191.908,-0.097,1.249,-2.318,0
1574372191.928,-0.060,1.069,-2.497,0
1574372191.947,-0.105,0.927,-2.587,0
1574372191.967,-0.142,0.763,-2.662,0
1574372191.987,-0.336,0.650,-2.654,0
1574372192.006,-0.583,0.486,-2.497,0
1574372192.026,-0.665,0.217,-2.228,0
1574372192.046,-0.748,0.075,-2.034,0
1574372192.065,-0.807,0.030,-1.989,0
1574372192.085,-0.673,-0.262,-1.832,0
1574372192.105,-0.464,-0.531,-1.757,0
1574372192.125,-0.486,-0.277,-1.809,0
1574372192.144,-0.568,0.254,-1.966,0
1574372192.164,-0.576,0.613,-2.138,0
1574372192.184,-0.336,0.807,-2.280,0
1574372192.203,-0.045,0.957,-2.318,0
1574372192.223,0.247,0.972,-2.378,0
1574372192.243,0.479,1.084,-2.363,0
1574372192.263,0.404,1.136,-2.273,0
1574372192.282,0.164,1.144,-2.168,0
1574372192.302,-0.045,1.024,-1.996,0
1574372192.322,-0.239,0.837,-1.742,0
1574372192.341,-0.434,0.591,-1.720,0
1574372192.361,-0.486,0.449,-1.720,0
1574372192.381,-0.523,0.299,-1.922,0
1574372192.401,-0.441,0.194,-2.176,0
1574372192.420,-0.449,0.187,-2.348,0
1574372192.440,-0.404,0.232,-2.430,0
1574372192.460,-0.404,0.322,-2.303,0
1574372192.479,-0.381,0.366,-2.295,0
1574372192.499,-0.501,0.434,-2.094,0
1574372192.519,-0.553,0.501,-2.041,0
1574372192.538,-0.493,0.479,-1.966,0
1574372192.558,-0.336,0.576,-1.936,0
1574372192.578,-0.359,0.621,-2.123,0
1574372192.598,-0.396,0.613,-2.310,0
1574372192.617,-0.194,0.658,-2.348,0
1574372192.637,-0.097,0.538,-2.318,0
1574372192.657,-0.150,0.538,-2.228,0
1574372192.676,-0.217,0.523,-2.101,0
1574372192.696,-0.329,0.366,-2.041,0
1574372192.716,-0.613,0.299,-2.034,0
1574372192.736,-0.837,0.224,-2.116,0
1574372192.755,-0.994,0.164,-2.273,0
1574372192.775,-0.718,0.561,-2.475,0
1574372192.795,-0.262,1.204,-2.579,0
1574372192.814,-0.015,1.570,-2.781,0
1574372192.834,0.000,1.525,-2.826,0
1574372192.854,-0.037,1.107,-2.722,0
1574372192.873,-0.202,0.755,-2.535,0
1574372192.893,-0.434,0.568,-2.325,0
1574372192.913,-0.688,0.419,-2.071,0
1574372192.933,-0.875,0.292,-1.959,0
1574372192.952,-0.920,0.045,-1.892,0
1574372192.972,-0.875,-0.120,-1.847,0
1574372192.992,-0.815,-0.359,-1.869,0
1574372193.011,-0.703,-0.852,-1.735,0
1574372193.031,-0.673,-1.122,-1.630,0
1574372193.051,-0.822,-0.710,-1.832,0
1574372193.071,-1.032,-0.022,-2.079,0
1574372193.090,-0.905,0.591,-2.221,0
1574372193.110,-0.553,1.054,-2.191,0
1574372193.130,-0.060,1.331,-2.086,0
1574372193.149,0.299,1.495,-2.026,0
1574372193.169,0.389,1.652,-2.056,0
1574372193.189,0.426,1.832,-2.131,0
1574372193.209,0.329,1.847,-2.026,0
1574372193.228,0.217,1.809,-2.079,0
1574372193.248,0.060,1.600,-2.101,0
1574372193.268,-0.090,1.361,-2.131,0
1574372193.287,-0.135,1.151,-2.161,0
1574372193.307,-0.127,0.905,-2.318,0
1574372193.327,-0.172,0.718,-2.273,0
1574372193.346,-0.187,0.493,-2.288,0
1574372193.366,-0.202,0.419,-2.191,0
1574372193.386,-0.277,0.471,-2.146,0
1574372193.406,-0.464,0.501,-2.161,0
1574372193.425,-0.531,0.516,-2.131,0
1574372193.445,-0.568,0.471,-2.116,0
