timestamps,X,Y,Z,Marker0
1562873520.383,1.533,-2.221,-1.832,0
1562873520.403,1.757,-2.430,-1.757,0
1562873520.423,1.555,-2.497,-1.809,0
1562873520.442,1.391,-2.370,-2.019,0
1562873520.462,1.226,-2.146,-2.116,0
1562873520.482,1.293,-1.914,-2.161,0
1562873520.502,1.533,-1.944,-2.056,0
1562873520.522,1.757,-2.086,-1.877,0
1562873520.541,1.712,-2.363,-1.907,0
1562873520.561,1.480,-2.572,-1.966,0
1562873520.581,1.421,-2.505,-2.123,0
1562873520.601,1.376,-2.400,-2.333,0
1562873520.620,1.189,-2.123,-2.572,0
1562873520.640,1.331,-1.936,-2.557,0
1562873520.660,1.458,-1.869,-2.445,0
1562873520.680,1.540,-1.802,-2.198,0
1562873520.700,1.593,-2.004,-1.907,0
1562873520.719,1.533,-2.228,-1.645,0
1562873520.739,1.563,-2.280,-1.518,0
1562873520.759,1.652,-2.325,-1.652,0
1562873520.779,1.705,-2.213,-1.869,0
1562873520.798,1.720,-2.138,-2.064,0
1562873520.818,1.563,-2.161,-2.221,0
1562873520.838,1.286,-2.280,-2.333,0
1562873520.858,1.122,-2.355,-2.280,0
1562873520.878,1.196,-2.422,-2.273,0
1562873520.897,1.331,-2.422,-2.236,0
1562873520.917,1.458,-2.265,-2.108,0
1562873520.937,1.585,-2.138,-1.951,0
1562873520.957,1.652,-2.198,-1.869,0
1562873520.977,1.578,-2.280,-1.802,0
1562873520.996,1.480,-2.348,-1.765,0
1562873521.016,1.308,-2.340,-1.682,0
1562873521.036,1.226,-2.400,-1.660,0
1562873521.056,1.578,-2.475,-1.548,0
1562873521.075,1.697,-2.699,-1.645,0
1562873521.095,1.301,-2.729,-1.884,0
1562873521.115,1.024,-2.684,-2.131,0
1562873521.135,0.965,-2.535,-2.325,0
1562873521.155,1.129,-2.198,-2.318,0
1562873521.174,1.495,-1.944,-2.108,0
1562873521.194,1.742,-1.989,-1.817,0
1562873521.214,1.809,-2.146,-1.473,0
1562873521.234,1.690,-2.393,-1.353,0
1562873521.254,1.495,-2.565,-1.436,0
1562873521.273,1.473,-2.624,-1.518,0
1562873521.293,1.174,-2.579,-1.742,0
1562873521.313,1.196,-2.415,-1.996,0
1562873521.333,1.406,-2.318,-2.071,0
1562873521.352,1.450,-2.064,-2.123,0
1562873521.372,1.458,-1.869,-2.168,0
1562873521.392,1.450,-2.034,-2.086,0
1562873521.412,1.271,-2.168,-1.944,0
1562873521.432,1.353,-2.400,-1.757,0
1562873521.451,1.473,-2.430,-1.600,0
1562873521.471,1.652,-2.430,-1.563,0
1562873521.491,1.794,-2.482,-1.525,0
1562873521.511,1.697,-2.325,-1.495,0
1562873521.530,1.563,-2.273,-1.622,0
1562873521.550,1.376,-2.273,-1.772,0
1562873521.570,1.211,-2.288,-1.839,0
1562873521.590,1.234,-2.191,-1.884,0
1562873521.610,1.331,-2.101,-1.862,0
1562873521.629,1.510,-2.071,-1.824,0
1562873521.649,1.600,-2.011,-1.637,0
1562873521.669,1.720,-1.981,-1.480,0
1562873521.689,1.720,-2.026,-1.204,0
1562873521.709,1.832,-2.049,-0.927,0
1562873521.728,1.936,-2.086,-0.464,0
1562873521.748,2.198,-2.116,0.015,0
1562873521.768,2.265,-1.884,0.426,0
1562873521.788,2.684,-1.608,1.122,0
1562873521.807,3.223,-1.383,2.094,0
1562873521.827,3.484,-1.002,3.125,0
1562873521.847,3.604,-0.501,4.015,0
1562873521.867,3.701,0.075,4.419,0
1562873521.887,3.394,0.150,4.389,0
1562873521.906,2.864,-1.249,3.933,0
1562873521.926,1.794,-3.357,3.021,0
1562873521.946,-0.105,-4.920,2.056,0
1562873521.966,-1.308,-5.623,1.376,0
1562873521.986,-0.703,-4.411,0.015,0
1562873522.005,0.501,-2.049,-1.518,0
1562873522.025,1.914,-0.179,-2.221,0
1562873522.045,2.923,0.725,-2.183,0
1562873522.065,2.774,1.264,-1.936,0
1562873522.084,2.295,1.286,-1.578,0
1562873522.104,2.236,0.187,-0.882,0
1562873522.124,1.936,-1.974,0.239,0
1562873522.144,1.735,-3.866,1.488,0
1562873522.164,1.892,-4.606,2.744,0
1562873522.183,2.123,-4.411,3.507,0
1562873522.203,2.647,-3.260,3.888,0
1562873522.223,2.894,-2.079,4.202,0
1562873522.243,2.923,-1.406,4.322,0
1562873522.262,2.819,-1.518,4.082,0
1562873522.282,2.265,-2.572,3.664,0
1562873522.302,1.593,-3.439,3.230,0
1562873522.322,1.144,-3.626,2.505,0
1562873522.342,1.271,-3.118,1.593,0
1562873522.361,1.750,-2.258,0.755,0
1562873522.381,2.400,-1.114,0.262,0
1562873522.401,2.737,-0.082,-0.007,0
1562873522.421,2.879,0.426,0.037,0
1562873522.441,3.282,0.464,0.172,0
1562873522.460,3.267,0.022,0.127,0
1562873522.480,2.751,-1.084,-0.232,0
1562873522.500,2.123,-2.497,-0.785,0
1562873522.520,1.570,-3.372,-1.705,0
1562873522.539,1.241,-3.335,-2.647,0
1562873522.559,1.608,-2.086,-3.537,0
1562873522.579,1.421,-1.458,-4.023,0
1562873522.599,0.965,-1.907,-3.828,0
1562873522.619,1.256,-0.710,-3.409,0
1562873522.638,1.944,1.323,-2.886,0
1562873522.658,2.183,3.200,-2.572,0
1562873522.678,2.034,3.342,-2.348,0
1562873522.698,1.787,1.675,-1.824,0
1562873522.717,0.471,-2.901,-0.882,0
1562873522.737,-1.869,-9.047,0.464,0
1562873522.757,-3.178,-14.782,2.251,0
1562873522.777,-1.929,-15.320,2.370,0
1562873522.797,-0.508,-10.139,0.740,0
1562873522.816,0.493,-6.737,-0.755,0
1562873522.836,1.039,-5.249,-1.675,0
1562873522.856,1.331,-3.514,-2.624,0
1562873522.876,1.353,-1.533,-3.447,0
1562873522.896,1.832,0.194,-4.202,0
1562873522.915,2.049,1.092,-4.680,0
1562873522.935,1.966,1.308,-4.845,0
1562873522.955,1.660,0.778,-4.815,0
1562873522.975,1.279,-0.067,-4.329,0
1562873522.994,0.987,-0.793,-3.589,0
1562873523.014,1.054,-1.361,-2.976,0
1562873523.034,1.353,-1.480,-2.579,0
1562873523.054,1.548,-1.608,-2.422,0
1562873523.074,1.473,-1.817,-2.408,0
1562873523.093,1.353,-1.675,-2.482,0
1562873523.113,1.652,-1.129,-2.849,0
1562873523.133,1.772,-1.047,-3.215,0
1562873523.153,1.660,-1.286,-3.447,0
1562873523.173,0.979,-2.378,-3.492,0
1562873523.192,0.419,-3.260,-3.178,0
1562873523.212,0.359,-3.432,-2.639,0
1562873523.232,0.419,-2.961,-2.094,0
1562873523.252,0.755,-2.265,-1.862,0
1562873523.271,1.084,-1.989,-1.720,0
1562873523.291,1.279,-1.645,-1.495,0
1562873523.311,1.361,-1.241,-1.398,0
1562873523.331,1.413,-1.002,-1.450,0
1562873523.351,1.421,-1.062,-1.563,0
1562873523.370,1.398,-1.368,-1.765,0
1562873523.390,1.458,-1.779,-1.824,0
1562873523.410,1.473,-2.228,-2.108,0
1562873523.430,1.413,-2.520,-2.123,0
1562873523.449,1.533,-2.669,-2.265,0
1562873523.469,1.480,-2.751,-2.295,0
1562873523.489,0.688,-2.707,-2.437,0
1562873523.509,0.254,-2.796,-2.520,0
1562873523.529,0.441,-2.737,-2.505,0
1562873523.548,0.613,-2.236,-2.490,0
1562873523.568,0.845,-1.361,-2.527,0
1562873523.588,1.293,-0.807,-2.265,0
1562873523.608,1.630,-0.852,-2.019,0
1562873523.628,2.011,-0.688,-1.779,0
1562873523.647,1.989,-1.032,-1.593,0
1562873523.667,1.839,-1.398,-1.667,0
1562873523.687,1.443,-2.064,-1.854,0
1562873523.707,1.196,-2.505,-2.071,0
1562873523.726,1.062,-2.908,-2.108,0
1562873523.746,0.860,-2.781,-2.228,0
1562873523.766,0.965,-2.647,-2.228,0
1562873523.786,1.129,-2.385,-2.101,0
1562873523.806,1.323,-1.750,-2.049,0
1562873523.825,1.383,-1.413,-1.922,0
1562873523.845,1.436,-1.869,-1.757,0
1562873523.865,1.563,-2.191,-1.794,0
1562873523.885,1.480,-2.168,-1.929,0
1562873523.904,1.540,-2.131,-2.041,0
1562873523.924,1.615,-2.161,-2.273,0
1562873523.944,1.406,-2.520,-2.415,0
1562873523.964,1.204,-2.722,-2.520,0
1562873523.984,1.077,-2.737,-2.684,0
1562873524.003,1.032,-2.565,-2.766,0
1562873524.023,1.211,-2.295,-2.729,0
1562873524.043,1.436,-1.794,-2.639,0
1562873524.063,1.473,-1.839,-2.295,0
1562873524.083,1.480,-2.086,-1.802,0
1562873524.102,1.608,-2.355,-1.436,0
1562873524.122,1.712,-2.572,-1.196,0
1562873524.142,1.608,-2.475,-1.122,0
1562873524.162,1.585,-2.415,-1.279,0
1562873524.181,1.465,-2.258,-1.503,0
1562873524.201,1.570,-2.056,-1.652,0
1562873524.221,1.622,-1.959,-1.615,0
1562873524.241,1.645,-1.742,-1.660,0
1562873524.261,1.727,-1.802,-1.727,0
1562873524.280,1.765,-1.772,-1.720,0
1562873524.300,1.742,-1.959,-1.637,0
1562873524.320,1.720,-2.004,-1.637,0
1562873524.340,1.750,-2.295,-1.667,0
1562873524.360,1.645,-2.482,-1.862,0
1562873524.379,1.361,-2.318,-2.004,0
1562873524.399,1.413,-2.101,-2.056,0
1562873524.419,1.667,-2.026,-2.206,0
1562873524.439,1.869,-2.243,-2.288,0
1562873524.458,1.637,-2.161,-2.236,0
1562873524.478,1.413,-2.363,-2.176,0
1562873524.498,1.151,-2.490,-2.138,0
1562873524.518,1.017,-2.131,-2.161,0
1562873524.538,1.174,-1.951,-2.101,0
1562873524.557,1.383,-2.079,-1.929,0
1562873524.577,1.436,-2.265,-1.854,0
1562873524.597,1.413,-2.101,-1.794,0
1562873524.617,1.383,-1.914,-1.757,0
1562873524.636,1.570,-2.056,-1.787,0
1562873524.656,1.742,-2.094,-1.787,0
1562873524.676,1.510,-2.258,-1.794,0
1562873524.696,1.458,-2.325,-1.757,0
1562873524.716,1.376,-2.176,-1.847,0
1562873524.735,1.308,-2.138,-1.966,0
1562873524.755,1.151,-1.974,-2.056,0
1562873524.775,1.136,-2.108,-2.131,0
1562873524.795,1.383,-2.161,-2.123,0
1562873524.815,1.697,-1.877,-2.228,0
1562873524.834,1.765,-1.735,-2.363,0
1562873524.854,1.608,-1.765,-2.213,0
1562873524.874,1.443,-1.974,-2.153,0
1562873524.894,1.219,-2.191,-2.191,0
1562873524.913,1.234,-2.251,-2.236,0
1562873524.933,1.174,-2.258,-2.325,0
1562873524.953,1.032,-2.370,-2.355,0
1562873524.973,0.979,-2.535,-2.251,0
1562873524.993,1.084,-2.415,-2.019,0
1562873525.012,1.249,-2.355,-1.750,0
1562873525.032,1.488,-2.131,-1.525,0
1562873525.052,1.585,-1.936,-1.443,0
1562873525.072,1.667,-1.959,-1.436,0
1562873525.092,1.787,-1.989,-1.585,0
1562873525.111,1.817,-1.884,-1.839,0
1562873525.131,1.450,-1.936,-2.034,0
1562873525.151,1.264,-2.146,-2.168,0
1562873525.171,1.211,-2.497,-2.303,0
1562873525.190,1.151,-2.879,-2.340,0
1562873525.210,1.219,-2.894,-2.355,0
1562873525.230,1.398,-2.565,-2.445,0
1562873525.250,1.436,-2.221,-2.385,0
1562873525.270,1.488,-1.996,-2.295,0
1562873525.289,1.308,-2.198,-2.079,0
1562873525.309,1.241,-2.908,-1.555,0
1562873525.329,1.009,-4.307,-1.174,0
1562873525.349,0.935,-5.368,-0.950,0
1562873525.368,1.151,-5.518,-0.935,0
1562873525.388,0.942,-5.510,-1.129,0
1562873525.408,1.107,-5.570,-1.413,0
1562873525.428,1.249,-5.219,-1.667,0
1562873525.448,1.241,-4.523,-1.847,0
1562873525.467,1.211,-3.903,-2.004,0
1562873525.487,1.039,-3.267,-2.228,0
1562873525.507,1.151,-2.460,-2.460,0
1562873525.527,1.585,-1.458,-2.684,0
1562873525.547,1.727,-1.256,-2.737,0
1562873525.566,1.974,-1.107,-2.707,0
1562873525.586,2.094,-1.114,-2.520,0
1562873525.606,2.116,-1.645,-2.348,0
1562873525.626,2.086,-2.079,-2.333,0
1562873525.645,2.056,-2.662,-2.318,0
1562873525.665,1.839,-3.058,-2.295,0
1562873525.685,1.450,-3.058,-2.333,0
1562873525.705,1.368,-2.512,-2.460,0
1562873525.725,1.510,-2.004,-2.437,0
1562873525.744,1.645,-1.869,-2.258,0
1562873525.764,1.892,-1.817,-2.011,0
1562873525.784,2.041,-1.959,-1.884,0
1562873525.804,1.966,-2.280,-1.869,0
1562873525.823,1.765,-2.363,-1.966,0
1562873525.843,1.488,-2.265,-2.138,0
1562873525.863,1.383,-1.944,-2.497,0
1562873525.883,1.480,-1.615,-2.781,0
1562873525.903,1.600,-1.510,-2.953,0
1562873525.922,1.585,-1.428,-2.953,0
1562873525.942,1.421,-1.705,-2.811,0
1562873525.962,1.129,-2.183,-2.647,0
1562873525.982,1.017,-2.415,-2.415,0
1562873526.002,1.024,-2.445,-2.273,0
1562873526.021,1.002,-2.213,-2.370,0
1562873526.041,0.987,-1.757,-2.355,0
1562873526.061,1.241,-1.585,-2.251,0
1562873526.081,1.488,-1.518,-2.004,0
1562873526.100,1.249,-1.727,-1.794,0
1562873526.120,1.062,-1.884,-1.697,0
1562873526.140,1.159,-2.019,-1.645,0
1562873526.160,1.249,-2.049,-1.742,0
1562873526.180,1.391,-1.802,-1.951,0
1562873526.199,1.570,-1.525,-2.123,0
1562873526.219,1.750,-1.443,-2.258,0
1562873526.239,1.615,-1.495,-2.310,0
1562873526.259,1.301,-1.735,-2.273,0
1562873526.279,1.069,-2.176,-2.094,0
1562873526.298,0.942,-2.400,-1.847,0
1562873526.318,1.069,-2.393,-1.712,0
1562873526.338,1.241,-2.310,-1.645,0
1562873526.358,1.495,-2.123,-1.652,0
1562873526.377,1.652,-1.802,-1.720,0
1562873526.397,1.705,-1.765,-1.735,0
1562873526.417,1.622,-1.742,-1.936,0
1562873526.437,1.465,-1.787,-2.026,0
1562873526.457,1.563,-1.914,-2.041,0
1562873526.476,1.480,-2.243,-1.929,0
1562873526.496,1.473,-2.460,-1.645,0
1562873526.516,1.465,-2.550,-1.488,0
1562873526.536,1.436,-2.475,-1.436,0
1562873526.555,1.436,-2.318,-1.488,0
1562873526.575,1.361,-2.295,-1.585,0
1562873526.595,1.264,-2.123,-1.817,0
1562873526.615,1.279,-2.019,-1.974,0
1562873526.635,1.293,-2.123,-2.086,0
1562873526.654,1.308,-2.153,-2.101,0
1562873526.674,1.383,-2.206,-2.026,0
1562873526.694,1.510,-2.273,-1.907,0
1562873526.714,1.555,-2.303,-1.765,0
1562873526.734,1.660,-2.355,-1.750,0
1562873526.753,1.750,-2.295,-1.779,0
1562873526.773,1.585,-2.228,-1.884,0
1562873526.793,1.413,-2.064,-2.011,0
1562873526.813,1.398,-2.034,-2.258,0
1562873526.832,1.436,-2.108,-2.258,0
1562873526.852,1.323,-2.176,-2.288,0
1562873526.872,1.084,-2.243,-2.370,0
