timestamps,X,Y,Z,Marker0
1573247415.799,-0.841,0.320,0.420,0
1573247415.819,-0.844,0.319,0.422,0
1573247415.838,-0.839,0.320,0.420,0
1573247415.858,-0.840,0.317,0.421,0
1573247415.878,-0.840,0.318,0.419,0
1573247415.898,-0.839,0.318,0.420,0
1573247415.917,-0.843,0.319,0.423,0
1573247415.937,-0.842,0.318,0.419,0
1573247415.957,-0.841,0.320,0.422,0
1573247415.976,-0.841,0.318,0.418,0
1573247415.996,-0.837,0.317,0.419,0
1573247416.016,-0.838,0.316,0.421,0
1573247416.036,-0.840,0.317,0.422,0
1573247416.055,-0.841,0.318,0.420,0
1573247416.075,-0.844,0.317,0.421,0
1573247416.095,-0.844,0.317,0.418,0
1573247416.114,-0.842,0.317,0.418,0
1573247416.134,-0.839,0.318,0.420,0
1573247416.154,-0.839,0.316,0.419,0
1573247416.174,-0.837,0.318,0.422,0
1573247416.193,-0.841,0.318,0.422,0
1573247416.213,-0.844,0.318,0.420,1
1573247416.233,-0.840,0.318,0.421,0
1573247416.252,-0.841,0.316,0.420,0
1573247416.272,-0.836,0.320,0.421,0
1573247416.292,-0.840,0.319,0.422,0
1573247416.311,-0.839,0.321,0.421,0
1573247416.331,-0.842,0.320,0.423,0
1573247416.351,-0.842,0.322,0.422,0
1573247416.371,-0.841,0.320,0.423,0
1573247416.390,-0.840,0.319,0.420,0
1573247416.410,-0.838,0.320,0.421,0
1573247416.430,-0.842,0.317,0.420,0
1573247416.449,-0.839,0.320,0.420,0
1573247416.469,-0.840,0.318,0.420,0
1573247416.489,-0.841,0.319,0.422,0
1573247416.509,-0.837,0.319,0.422,0
1573247416.528,-0.840,0.318,0.422,0
1573247416.548,-0.838,0.319,0.420,0
1573247416.568,-0.840,0.319,0.422,0
1573247416.587,-0.840,0.321,0.422,0
1573247416.607,-0.841,0.321,0.422,0
1573247416.627,-0.840,0.320,0.424,0
1573247416.647,-0.840,0.320,0.422,0
1573247416.666,-0.839,0.320,0.421,0
1573247416.686,-0.839,0.319,0.422,0
1573247416.706,-0.842,0.318,0.421,0
1573247416.725,-0.838,0.318,0.420,0
1573247416.745,-0.841,0.319,0.421,0
1573247416.765,-0.840,0.320,0.420,0
1573247416.784,-0.839,0.318,0.421,0
1573247416.804,-0.839,0.318,0.423,0
1573247416.824,-0.838,0.318,0.422,0
1573247416.844,-0.836,0.319,0.423,0
1573247416.863,-0.839,0.319,0.420,0
1573247416.883,-0.843,0.320,0.421,0
1573247416.903,-0.844,0.322,0.421,0
1573247416.922,-0.842,0.322,0.420,0
1573247416.942,-0.836,0.321,0.421,0
1573247416.962,-0.836,0.320,0.424,0
1573247416.982,-0.839,0.322,0.422,2
1573247417.001,-0.840,0.323,0.423,0
1573247417.021,-0.842,0.323,0.422,0
1573247417.041,-0.839,0.321,0.419,0
1573247417.060,-0.836,0.321,0.422,0
1573247417.080,-0.840,0.322,0.420,0
1573247417.100,-0.838,0.321,0.419,0
1573247417.120,-0.840,0.321,0.422,0
1573247417.139,-0.844,0.322,0.422,0
1573247417.159,-0.838,0.322,0.422,0
1573247417.179,-0.840,0.320,0.420,0
1573247417.198,-0.838,0.320,0.420,0
1573247417.218,-0.840,0.320,0.421,0
1573247417.238,-0.841,0.320,0.421,0
1573247417.258,-0.839,0.318,0.421,0
1573247417.277,-0.837,0.319,0.421,0
1573247417.297,-0.838,0.320,0.424,0
1573247417.317,-0.839,0.320,0.422,0
1573247417.336,-0.839,0.321,0.421,0
1573247417.356,-0.842,0.321,0.421,0
1573247417.376,-0.841,0.323,0.421,0
1573247417.395,-0.841,0.323,0.421,0
1573247417.415,-0.841,0.322,0.421,0
1573247417.435,-0.838,0.323,0.420,0
1573247417.455,-0.840,0.320,0.421,0
1573247417.474,-0.839,0.321,0.420,0
1573247417.494,-0.840,0.321,0.421,0
1573247417.514,-0.839,0.320,0.421,0
1573247417.533,-0.841,0.319,0.423,0
1573247417.553,-0.839,0.319,0.422,0
1573247417.573,-0.838,0.319,0.419,0
1573247417.593,-0.838,0.319,0.421,0
1573247417.612,-0.838,0.321,0.424,0
1573247417.632,-0.839,0.320,0.422,0
1573247417.652,-0.840,0.320,0.421,0
1573247417.671,-0.841,0.321,0.421,0
1573247417.691,-0.843,0.320,0.419,0
1573247417.711,-0.840,0.321,0.420,0
1573247417.731,-0.837,0.322,0.421,0
1573247417.750,-0.837,0.320,0.421,0
1573247417.770,-0.839,0.321,0.422,0
1573247417.790,-0.841,0.321,0.422,0
1573247417.809,-0.841,0.321,0.421,0
1573247417.829,-0.839,0.320,0.421,0
1573247417.849,-0.839,0.319,0.421,0
1573247417.868,-0.839,0.321,0.419,0
1573247417.888,-0.839,0.322,0.419,0
1573247417.908,-0.839,0.321,0.420,0
1573247417.928,-0.841,0.320,0.420,0
1573247417.947,-0.837,0.321,0.421,0
1573247417.967,-0.840,0.320,0.421,0
1573247417.987,-0.838,0.321,0.421,0
1573247418.006,-0.841,0.322,0.421,0
1573247418.026,-0.840,0.323,0.420,0
1573247418.046,-0.837,0.322,0.421,0
1573247418.066,-0.840,0.320,0.421,0
1573247418.085,-0.837,0.322,0.423,0
1573247418.105,-0.839,0.321,0.422,0
1573247418.125,-0.840,0.322,0.421,0
1573247418.144,-0.841,0.322,0.421,0
1573247418.164,-0.839,0.323,0.419,0
1573247418.184,-0.840,0.322,0.420,0
1573247418.204,-0.840,0.321,0.419,0
1573247418.223,-0.839,0.322,0.422,0
1573247418.243,-0.841,0.322,0.421,0
1573247418.263,-0.838,0.321,0.421,0
1573247418.282,-0.839,0.321,0.421,0
1573247418.302,-0.840,0.322,0.419,0
1573247418.322,-0.839,0.323,0.421,0
1573247418.341,-0.844,0.321,0.421,0
1573247418.361,-0.840,0.321,0.420,0
1573247418.381,-0.837,0.320,0.419,0
1573247418.401,-0.837,0.319,0.421,0
1573247418.420,-0.835,0.320,0.421,0
1573247418.440,-0.839,0.320,0.421,0
1573247418.460,-0.843,0.322,0.419,0
1573247418.479,-0.843,0.321,0.417,0
1573247418.499,-0.841,0.321,0.419,0
1573247418.519,-0.840,0.320,0.419,0
1573247418.539,-0.837,0.321,0.421,0
1573247418.558,-0.838,0.321,0.423,0
1573247418.578,-0.839,0.320,0.422,0
1573247418.598,-0.839,0.322,0.421,0
1573247418.617,-0.841,0.320,0.422,0
1573247418.637,-0.839,0.323,0.421,0
1573247418.657,-0.840,0.322,0.423,0
1573247418.677,-0.839,0.324,0.419,0
1573247418.696,-0.838,0.322,0.419,0
1573247418.716,-0.840,0.321,0.420,0
1573247418.736,-0.839,0.321,0.419,0
1573247418.755,-0.840,0.322,0.419,0
1573247418.775,-0.842,0.322,0.420,0
1573247418.795,-0.841,0.320,0.420,0
1573247418.814,-0.839,0.321,0.419,0
1573247418.834,-0.838,0.320,0.420,0
1573247418.854,-0.838,0.320,0.419,0
1573247418.874,-0.836,0.321,0.421,0
1573247418.893,-0.841,0.323,0.421,0
1573247418.913,-0.843,0.323,0.420,0
1573247418.933,-0.842,0.323,0.420,0
1573247418.952,-0.842,0.322,0.420,0
1573247418.972,-0.841,0.322,0.420,0
1573247418.992,-0.838,0.321,0.421,0
1573247419.012,-0.841,0.320,0.422,0
1573247419.031,-0.836,0.321,0.420,0
1573247419.051,-0.836,0.321,0.420,0
1573247419.071,-0.838,0.320,0.420,0
1573247419.090,-0.837,0.322,0.418,0
1573247419.110,-0.839,0.323,0.421,0
1573247419.130,-0.844,0.324,0.419,0
1573247419.150,-0.839,0.328,0.419,0
1573247419.169,-0.841,0.324,0.421,0
