timestamps,X,Y,Z,Marker0
1562876015.884,1.929,-2.079,-1.406,0
1562876015.904,2.206,-1.877,-1.338,0
1562876015.924,2.116,-1.622,-1.189,0
1562876015.943,1.122,-1.510,-1.540,0
1562876015.963,0.650,-1.548,-1.951,0
1562876015.983,1.241,-1.742,-1.839,0
1562876016.003,1.907,-2.108,-1.398,0
1562876016.023,2.168,-2.258,-0.942,0
1562876016.042,2.094,-2.251,-0.815,0
1562876016.062,1.772,-1.922,-1.114,0
1562876016.082,1.510,-1.622,-1.353,0
1562876016.102,1.450,-1.593,-1.548,0
1562876016.122,1.570,-1.854,-1.488,0
1562876016.141,1.697,-2.034,-1.436,0
1562876016.161,1.735,-2.034,-1.353,0
1562876016.181,1.682,-1.959,-1.368,0
1562876016.201,1.697,-1.712,-1.458,0
1562876016.220,1.824,-1.585,-1.495,0
1562876016.240,1.922,-1.585,-1.450,0
1562876016.260,1.555,-1.839,-1.652,0
1562876016.280,1.413,-1.847,-1.802,0
1562876016.300,1.555,-1.705,-1.809,0
1562876016.319,1.750,-1.450,-1.742,0
1562876016.339,2.123,-1.682,-1.675,0
1562876016.359,2.138,-1.480,-1.480,0
1562876016.379,2.116,-1.413,-1.338,0
1562876016.398,1.862,-0.905,-1.136,0
1562876016.418,1.966,-1.144,-1.129,0
1562876016.438,2.206,-1.054,-1.062,0
1562876016.458,2.632,-1.092,-0.890,0
1562876016.478,2.804,-1.077,-0.606,0
1562876016.497,2.894,-1.039,-0.344,0
1562876016.517,2.879,-0.965,-0.217,0
1562876016.537,2.796,-0.785,-0.164,0
1562876016.557,2.871,-0.755,-0.269,0
1562876016.577,2.639,-0.374,-0.120,0
1562876016.596,2.789,-0.950,-0.292,0
1562876016.616,2.677,-1.241,-0.411,0
1562876016.636,2.422,-1.705,-0.703,0
1562876016.656,2.101,-1.914,-0.965,0
1562876016.675,1.727,-2.041,-1.376,0
1562876016.695,1.450,-2.408,-1.735,0
1562876016.715,1.331,-2.901,-2.034,0
1562876016.735,1.406,-3.611,-2.243,0
1562876016.755,1.622,-4.770,-2.153,0
1562876016.774,1.705,-6.213,-1.966,0
1562876016.794,1.765,-8.935,-2.108,0
1562876016.814,2.251,-13.585,-2.602,0
1562876016.834,3.424,-18.670,-3.993,0
1562876016.854,4.000,-20.359,-5.114,0
1562876016.873,3.551,-19.111,-5.757,0
1562876016.893,2.505,-17.301,-6.632,0
1562876016.913,1.144,-14.490,-7.783,0
1562876016.933,0.606,-12.374,-8.763,0
1562876016.952,0.202,-10.056,-9.084,0
1562876016.972,-0.396,-7.469,-8.830,0
1562876016.992,-0.785,-5.256,-8.045,0
1562876017.012,0.015,-3.409,-6.781,0
1562876017.032,0.636,-2.228,-5.391,0
1562876017.051,0.082,-0.770,-4.351,0
1562876017.071,-0.262,0.097,-3.499,0
1562876017.091,0.516,0.389,-2.602,0
1562876017.111,1.406,0.164,-1.271,0
1562876017.130,2.146,-0.307,0.052,0
1562876017.150,2.475,-0.680,1.099,0
1562876017.170,2.505,-0.740,1.697,0
1562876017.190,2.273,-0.643,1.847,0
1562876017.210,1.996,-0.501,1.548,0
1562876017.229,1.593,-0.516,1.002,0
1562876017.249,1.346,-0.718,-0.007,0
1562876017.269,1.092,-0.793,-1.166,0
1562876017.289,0.860,-0.875,-2.146,0
1562876017.309,0.598,-0.793,-2.834,0
1562876017.328,0.493,-0.807,-3.133,0
1562876017.348,0.628,-1.062,-3.267,0
1562876017.368,0.105,-0.987,-3.380,0
1562876017.388,0.202,-1.077,-3.103,0
1562876017.407,1.084,-1.114,-2.594,0
1562876017.427,1.907,-1.144,-1.779,0
1562876017.447,2.415,-0.994,-0.994,0
1562876017.467,2.565,-0.860,-0.307,0
1562876017.487,2.258,-0.598,0.157,0
1562876017.506,1.922,-0.523,0.142,0
1562876017.526,1.555,-0.374,-0.082,0
1562876017.546,1.458,-0.389,-0.359,0
1562876017.566,1.578,-0.665,-0.621,0
1562876017.586,1.720,-0.972,-0.733,0
1562876017.605,1.578,-1.219,-0.852,0
1562876017.625,1.495,-1.271,-1.009,0
1562876017.645,1.421,-1.286,-1.234,0
1562876017.665,1.301,-1.189,-1.495,0
1562876017.684,1.331,-1.241,-1.765,0
1562876017.704,1.361,-1.361,-1.839,0
1562876017.724,1.264,-1.563,-1.974,0
1562876017.744,1.361,-1.727,-1.981,0
1562876017.764,1.503,-1.750,-1.929,0
1562876017.783,1.450,-1.675,-1.832,0
1562876017.803,1.436,-1.600,-1.817,0
1562876017.823,1.465,-1.488,-1.735,0
1562876017.843,1.533,-1.443,-1.630,0
1562876017.862,1.622,-1.346,-1.316,0
1562876017.882,1.832,-1.174,-1.077,0
1562876017.902,1.951,-0.882,-0.800,0
1562876017.922,2.094,-0.576,-0.576,0
1562876017.942,2.213,-0.082,-0.299,0
1562876017.961,2.303,0.568,0.060,0
1562876017.981,2.191,1.166,0.404,0
1562876018.001,1.854,1.824,0.449,0
1562876018.021,1.495,2.183,0.322,0
1562876018.041,1.256,2.191,0.164,0
1562876018.060,1.458,1.809,-0.052,0
1562876018.080,2.280,1.376,0.067,0
1562876018.100,2.542,0.845,-0.112,0
1562876018.120,2.108,0.441,-0.845,0
1562876018.139,1.735,0.262,-1.406,0
1562876018.159,1.533,0.224,-1.622,0
1562876018.179,1.368,0.179,-1.765,0
1562876018.199,1.114,0.150,-1.727,0
1562876018.219,0.994,0.389,-1.779,0
1562876018.238,1.002,0.404,-1.824,0
1562876018.258,0.942,0.344,-2.034,0
1562876018.278,0.897,-0.052,-2.594,0
1562876018.298,0.703,-0.434,-2.961,0
1562876018.318,1.151,-0.778,-2.714,0
1562876018.337,1.824,-1.062,-2.004,0
1562876018.357,2.094,-0.927,-0.972,0
1562876018.377,2.206,-0.763,-0.060,0
1562876018.397,2.056,-0.650,0.434,0
1562876018.416,1.069,-0.636,0.090,0
1562876018.436,0.262,-0.830,-0.606,0
1562876018.456,0.299,-0.972,-1.092,0
1562876018.476,0.643,-1.099,-1.548,0
1562876018.496,0.972,-1.002,-1.892,0
1562876018.515,0.927,-0.725,-2.034,0
1562876018.535,0.770,-0.837,-2.011,0
1562876018.555,0.606,-0.965,-1.907,0
1562876018.575,0.538,-1.151,-1.555,0
1562876018.594,0.546,-1.264,-0.957,0
1562876018.614,0.636,-1.353,-0.553,0
1562876018.634,0.830,-1.525,-0.299,0
1562876018.654,1.144,-1.331,-0.441,0
1562876018.674,1.271,-0.658,-0.621,0
1562876018.693,1.286,-0.546,-0.800,0
1562876018.713,1.525,-0.845,-0.807,0
1562876018.733,1.727,-1.226,-0.882,0
1562876018.753,1.720,-1.899,-1.092,0
1562876018.773,1.540,-2.363,-1.368,0
1562876018.792,1.234,-2.370,-1.652,0
1562876018.812,1.099,-1.473,-1.951,0
1562876018.832,1.024,-0.748,-2.265,0
1562876018.852,0.935,-1.114,-2.355,0
1562876018.871,0.979,-1.817,-2.123,0
1562876018.891,1.234,-2.049,-1.869,0
1562876018.911,1.398,-1.854,-1.660,0
1562876018.931,1.645,-1.615,-1.495,0
1562876018.951,1.690,-1.413,-1.563,0
1562876018.970,1.802,-1.331,-1.503,0
1562876018.990,1.832,-1.346,-1.428,0
1562876019.010,1.787,-1.383,-1.241,0
1562876019.030,1.944,-1.465,-1.002,0
