timestamps,X,Y,Z,Marker0
1574373611.732,-0.344,-0.621,-2.789,0
1574373611.751,-0.553,-0.770,-2.864,0
1574373611.771,-0.501,-1.099,-2.953,0
1574373611.791,-0.486,-1.204,-3.006,0
1574373611.810,-0.344,-1.204,-2.968,0
1574373611.830,-0.217,-0.897,-2.916,0
1574373611.850,-0.052,-0.464,-2.849,0
1574373611.870,0.269,-0.254,-2.811,0
1574373611.889,0.538,-0.284,-2.744,0
1574373611.909,0.688,-0.336,-2.759,0
1574373611.929,0.486,-0.217,-2.804,0
1574373611.948,0.090,0.007,-2.998,0
1574373611.968,-0.262,0.135,-3.170,0
1574373611.988,-0.307,0.142,-3.155,0
1574373612.007,-0.142,0.157,-3.133,0
1574373612.027,0.060,0.127,-3.125,0
1574373612.047,0.232,0.045,-3.080,0
1574373612.067,0.239,0.045,-2.998,0
1574373612.086,0.150,0.007,-2.879,0
1574373612.106,0.172,-0.097,-2.751,0
1574373612.126,0.277,-0.299,-2.669,0
1574373612.145,0.135,-0.404,-2.535,0
1574373612.165,0.082,-0.404,-2.482,0
1574373612.185,0.247,-0.471,-2.460,0
1574373612.205,0.381,-0.247,-2.602,0
1574373612.224,0.239,0.314,-2.707,0
1574373612.244,-0.142,0.942,-2.774,0
1574373612.264,-0.628,1.159,-2.737,0
1574373612.283,-1.047,1.069,-2.310,0
1574373612.303,-1.017,0.613,-1.996,0
1574373612.323,-0.322,-0.164,-1.757,0
1574373612.343,0.247,-0.553,-1.548,0
1574373612.362,0.553,-0.531,-1.570,0
1574373612.382,0.778,-0.254,-1.705,0
1574373612.402,0.621,0.247,-1.772,0
1574373612.421,0.351,0.598,-2.079,0
1574373612.441,0.179,0.628,-2.542,0
1574373612.461,0.052,0.456,-2.916,0
1574373612.480,-0.082,0.366,-2.983,0
1574373612.500,-0.269,0.396,-3.178,0
1574373612.520,-0.314,0.501,-3.215,0
1574373612.540,-0.232,0.359,-2.946,0
1574373612.559,-0.179,0.127,-2.415,0
1574373612.579,-0.097,0.164,-2.049,0
1574373612.599,0.082,0.269,-1.757,0
1574373612.618,0.277,0.157,-1.645,0
1574373612.638,0.411,0.172,-1.615,0
1574373612.658,0.314,0.471,-1.809,0
1574373612.678,0.120,0.815,-1.981,0
1574373612.697,-0.142,0.942,-2.340,0
1574373612.717,-0.441,0.890,-2.617,0
1574373612.737,-0.680,0.830,-2.632,0
1574373612.756,-0.740,0.665,-2.617,0
1574373612.776,-0.621,0.404,-2.527,0
1574373612.796,-0.329,0.262,-2.310,0
1574373612.816,-0.097,0.239,-2.183,0
1574373612.835,0.090,0.359,-2.153,0
1574373612.855,0.157,0.471,-2.176,0
1574373612.875,0.067,0.479,-2.251,0
1574373612.894,-0.232,0.538,-2.333,0
1574373612.914,-0.479,0.583,-2.437,0
1574373612.934,-0.725,0.688,-2.557,0
1574373612.953,-1.024,0.770,-2.512,0
1574373612.973,-0.935,0.673,-2.318,0
