timestamps,X,Y,Z,Marker0
1573165557.181,-0.516,0.411,-2.781,0
1573165557.201,-0.247,0.090,-2.482,0
1573165557.220,0.105,-0.022,-2.034,0
1573165557.240,0.179,-0.142,-1.667,0
1573165557.260,0.239,-0.179,-1.338,0
1573165557.279,0.262,-0.224,-1.264,0
1573165557.299,0.344,-0.127,-1.368,0
1573165557.319,0.277,0.120,-1.645,0
1573165557.339,0.075,0.479,-2.041,0
1573165557.358,-0.135,0.680,-2.370,0
1573165557.378,-0.359,0.621,-2.594,0
1573165557.398,-0.456,0.389,-2.699,0
1573165557.417,-0.621,0.277,-2.639,0
1573165557.437,-0.471,0.247,-2.393,0
1573165557.457,-0.202,0.209,-2.176,0
1573165557.477,0.127,0.187,-1.862,0
1573165557.496,0.194,0.157,-1.660,0
1573165557.516,0.164,0.135,-1.563,0
1573165557.536,-0.007,0.194,-1.578,0
1573165557.555,-0.097,0.262,-1.682,0
1573165557.575,-0.164,0.277,-1.832,0
1573165557.595,-0.284,0.411,-2.064,0
1573165557.614,-0.441,0.411,-2.138,0
1573165557.634,-0.464,0.344,-2.153,0
1573165557.654,-0.224,0.224,-2.206,0
1573165557.674,-0.015,0.142,-2.161,0
1573165557.693,0.037,0.277,-2.101,0
1573165557.713,0.052,0.336,-1.989,0
1573165557.733,-0.022,0.336,-2.056,0
1573165557.752,-0.150,0.292,-2.019,0
1573165557.772,-0.224,0.247,-2.026,0
1573165557.792,-0.187,0.142,-2.056,0
1573165557.812,-0.202,0.157,-1.959,0
1573165557.831,-0.150,0.157,-1.907,0
1573165557.851,-0.090,0.135,-1.877,0
1573165557.871,0.045,0.164,-1.757,0
1573165557.890,0.060,0.224,-1.794,0
1573165557.910,0.022,0.202,-1.854,0
1573165557.930,-0.067,0.164,-1.981,0
1573165557.950,-0.082,0.164,-2.198,0
1573165557.969,-0.082,0.262,-2.594,0
1573165557.989,-0.411,0.479,-2.804,0
1573165558.009,-0.591,0.553,-2.714,0
1573165558.028,-0.239,0.187,-2.437,0
1573165558.048,0.082,-0.022,-2.101,0
1573165558.068,0.239,-0.142,-1.787,0
1573165558.087,0.239,-0.187,-1.480,0
1573165558.107,0.135,-0.164,-1.406,0
1573165558.127,0.150,-0.120,-1.458,0
1573165558.147,0.239,0.045,-1.690,0
1573165558.166,0.150,0.239,-2.094,0
1573165558.186,-0.127,0.329,-2.475,0
1573165558.206,-0.314,0.284,-2.796,0
1573165558.225,-0.493,0.269,-3.125,0
1573165558.245,-0.733,0.299,-3.185,0
1573165558.265,-0.830,0.322,-3.110,0
1573165558.285,-0.479,0.396,-2.998,0
1573165558.304,-0.217,0.411,-2.714,0
1573165558.324,-0.052,0.381,-2.632,0
1573165558.344,-0.179,0.366,-2.729,0
1573165558.363,-0.479,0.381,-2.819,0
1573165558.383,-0.830,0.538,-3.013,0
1573165558.403,-0.927,0.628,-3.140,0
1573165558.422,-0.912,0.680,-3.394,0
1573165558.442,-0.658,0.643,-3.716,0
1573165558.462,-0.389,0.366,-3.686,0
