timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1566844445.085,41.504,33.691,31.738,39.062,53.711,0
1566844445.089,43.945,18.066,32.715,38.574,47.363,0
1566844445.092,49.316,37.109,32.227,41.504,43.945,0
1566844445.096,42.969,62.012,30.762,36.621,44.434,0
1566844445.100,34.180,57.617,28.320,31.250,41.992,0
1566844445.104,39.062,50.293,30.273,37.598,54.688,0
1566844445.108,39.551,46.387,31.250,40.039,47.852,0
1566844445.112,40.527,39.551,29.297,39.062,44.922,0
1566844445.116,41.504,45.410,27.832,39.062,49.805,0
1566844445.120,39.062,53.223,26.367,35.156,62.500,0
1566844445.124,42.480,46.875,27.832,35.156,66.406,0
1566844445.128,47.852,47.852,26.855,37.598,69.336,0
1566844445.132,50.781,48.828,26.367,38.086,72.754,0
1566844445.135,44.434,60.059,24.902,38.574,59.082,0
1566844445.139,43.945,64.453,25.879,38.574,63.965,0
1566844445.143,54.199,34.180,28.320,40.527,71.289,0
1566844445.147,58.594,27.832,30.273,41.016,75.684,0
1566844445.151,59.082,47.852,31.738,42.969,87.891,0
1566844445.155,54.688,50.293,26.367,44.434,88.867,0
1566844445.159,49.805,36.621,26.367,37.109,77.637,0
1566844445.163,50.293,43.945,27.344,31.738,56.641,0
1566844445.167,46.387,54.688,23.926,29.785,44.922,0
1566844445.171,43.945,47.852,27.832,32.715,66.406,0
1566844445.174,49.805,44.434,32.227,33.691,77.148,0
1566844445.178,43.945,37.598,30.762,26.367,66.895,0
1566844445.182,40.039,52.734,33.691,27.832,54.688,0
1566844445.186,44.434,50.293,35.156,32.715,53.711,0
1566844445.190,40.039,33.691,33.203,31.738,60.059,0
1566844445.194,35.645,35.645,32.715,33.691,48.828,0
1566844445.198,34.668,35.645,37.598,36.621,34.180,0
1566844445.202,34.180,34.180,36.621,32.715,31.250,0
1566844445.206,30.273,30.273,34.668,26.855,36.621,0
1566844445.210,25.391,32.227,38.574,26.855,40.039,0
1566844445.214,24.902,45.898,35.645,31.738,33.691,0
1566844445.217,24.902,52.734,32.227,31.738,38.086,0
1566844445.221,28.320,40.039,35.156,30.762,22.461,0
1566844445.225,19.531,33.203,35.156,25.391,-1.465,0
1566844445.229,19.043,31.738,33.203,24.414,13.184,0
1566844445.233,27.344,15.625,32.715,31.738,21.973,0
1566844445.237,25.391,14.648,31.738,31.250,20.996,0
1566844445.241,20.020,41.016,24.902,23.438,9.277,0
1566844445.245,17.578,51.270,26.367,25.879,7.324,0
1566844445.249,21.973,47.852,30.273,25.879,8.301,0
1566844445.253,16.113,45.410,24.902,17.090,6.836,0
1566844445.257,16.113,42.969,29.297,17.578,21.973,0
1566844445.260,22.949,39.062,33.691,21.973,30.273,0
1566844445.264,21.973,17.578,34.668,21.484,13.672,0
1566844445.268,19.531,12.695,36.621,15.137,-11.719,0
1566844445.272,16.113,35.156,33.203,11.230,-12.207,0
1566844445.276,22.949,41.504,35.645,18.555,-0.488,0
1566844445.280,24.414,47.852,38.086,24.414,-4.883,0
1566844445.284,20.508,48.828,38.086,21.973,24.902,0
1566844445.288,22.949,28.809,38.086,20.508,43.945,0
1566844445.292,25.879,19.531,40.527,23.926,27.832,0
1566844445.296,27.344,29.297,39.551,27.344,30.762,0
1566844445.299,32.227,33.691,39.062,32.227,33.203,0
1566844445.303,41.016,41.992,43.457,39.551,44.922,0
1566844445.307,41.016,35.645,39.062,42.969,59.570,0
1566844445.311,39.551,20.996,35.645,41.992,62.012,0
1566844445.315,33.691,38.574,35.156,40.039,60.059,0
1566844445.319,33.691,52.246,36.621,44.922,67.383,0
1566844445.323,44.434,37.109,40.527,49.805,80.566,0
1566844445.327,41.016,25.391,36.133,46.875,75.684,0
1566844445.331,41.504,24.414,38.086,49.805,62.988,0
1566844445.335,46.387,23.926,41.016,47.363,61.523,0
1566844445.339,38.086,38.574,40.039,41.504,75.684,0
1566844445.342,37.598,38.086,40.039,42.480,65.430,0
1566844445.346,38.574,26.367,38.086,43.457,41.016,0
1566844445.350,37.598,28.809,40.039,47.363,47.852,0
1566844445.354,36.621,36.133,38.574,42.969,57.129,0
1566844445.358,36.621,33.691,39.062,41.992,66.406,0
1566844445.362,36.133,29.297,41.504,48.340,59.082,0
1566844445.366,33.203,30.273,38.086,44.434,33.203,0
1566844445.370,30.273,45.410,36.621,39.062,32.715,0
1566844445.374,24.902,56.641,35.645,35.645,22.461,0
1566844445.378,30.762,37.109,40.039,39.551,23.926,0
1566844445.382,34.180,6.836,42.969,45.410,47.363,0
1566844445.385,39.551,1.465,42.480,44.922,60.059,0
1566844445.389,39.062,31.250,41.016,39.551,48.828,0
1566844445.393,31.250,46.875,35.156,36.133,21.484,0
1566844445.397,33.203,45.898,33.691,38.086,16.113,0
1566844445.401,28.320,50.781,31.250,35.645,20.020,0
1566844445.405,28.809,54.688,31.738,34.668,17.578,0
1566844445.409,39.551,61.035,35.645,38.086,22.949,0
1566844445.413,41.992,58.105,38.574,40.527,34.180,0
1566844445.417,42.969,43.457,38.574,41.016,21.973,0
1566844445.421,44.434,31.250,32.715,36.133,18.066,0
1566844445.424,45.898,42.969,33.691,37.598,27.344,0
1566844445.428,48.340,53.711,34.668,39.551,15.625,0
1566844445.432,50.781,49.805,30.762,36.621,5.371,0
1566844445.436,52.246,37.598,30.273,35.156,-0.488,0
1566844445.440,47.852,32.715,32.227,35.645,12.207,0
1566844445.444,45.410,36.133,32.715,34.180,21.973,0
1566844445.448,46.387,40.527,32.715,36.621,13.672,0
1566844445.452,50.781,43.945,37.598,44.922,29.297,0
1566844445.456,52.246,50.781,35.645,42.480,49.316,0
1566844445.460,43.945,49.805,25.391,33.691,48.340,0
1566844445.464,47.363,45.410,25.879,38.086,43.945,0
1566844445.467,49.316,41.016,26.855,39.062,26.367,0
1566844445.471,41.504,44.434,30.273,40.527,24.414,0
1566844445.475,42.969,51.758,34.668,43.457,36.621,0
1566844445.479,41.992,34.180,32.715,39.551,42.969,0
1566844445.483,44.922,19.043,38.574,43.457,50.781,0
1566844445.487,46.387,17.578,39.062,42.480,39.551,0
1566844445.491,40.039,21.484,35.156,36.133,32.227,0
1566844445.495,25.391,34.180,35.156,31.250,40.527,0
1566844445.499,27.832,52.734,38.086,34.668,41.504,0
1566844445.503,28.809,50.293,36.621,31.250,34.180,0
1566844445.507,30.273,43.945,35.156,29.785,34.180,0
1566844445.510,32.227,38.086,38.574,33.203,20.996,0
1566844445.514,26.855,28.809,40.039,31.250,10.742,0
1566844445.518,30.762,28.320,40.527,30.273,17.578,0
1566844445.522,27.832,40.527,39.551,29.785,19.531,0
1566844445.526,28.809,49.805,41.992,33.203,27.832,0
1566844445.530,26.367,45.410,40.527,30.273,32.227,0
1566844445.534,26.855,43.457,36.621,28.320,31.738,0
1566844445.538,24.414,36.621,33.691,26.855,19.043,0
1566844445.542,25.879,33.691,34.180,26.367,10.254,0
1566844445.546,40.527,43.945,37.109,36.621,33.691,0
1566844445.549,24.414,46.875,35.156,36.133,38.086,0
1566844445.553,0.488,43.945,34.180,33.203,29.297,0
1566844445.557,3.906,41.992,36.621,37.598,40.039,0
1566844445.561,14.648,41.504,32.715,31.738,36.133,0
1566844445.565,29.297,41.992,33.203,34.180,26.855,0
1566844445.569,36.133,32.715,33.203,34.180,36.621,0
1566844445.573,35.156,35.645,30.762,30.273,40.039,0
1566844445.577,33.691,47.852,28.809,30.762,31.250,0
1566844445.581,34.668,47.363,26.367,25.391,36.133,0
1566844445.585,45.410,36.133,31.738,30.273,46.875,0
1566844445.589,44.922,37.598,38.574,35.645,62.500,0
1566844445.592,40.527,41.504,37.109,34.668,140.625,0
1566844445.596,46.387,27.832,37.598,31.738,249.512,0
1566844445.600,45.410,29.297,35.645,27.832,355.469,0
1566844445.604,36.621,49.316,35.156,26.367,475.586,0
1566844445.608,40.527,41.992,41.504,31.250,556.641,0
1566844445.612,39.551,21.484,38.574,31.250,556.152,0
1566844445.616,38.086,22.949,35.156,29.297,473.633,0
1566844445.620,41.016,44.434,43.457,35.645,319.824,0
1566844445.624,38.574,53.223,46.875,40.527,129.883,0
1566844445.628,30.273,41.016,41.992,39.551,-42.480,0
1566844445.632,27.832,32.715,38.574,38.086,-138.672,0
1566844445.635,29.297,35.156,39.062,38.574,-160.156,0
1566844445.639,23.926,40.527,36.621,33.203,-143.066,0
1566844445.643,31.250,44.922,35.156,29.785,-143.555,0
1566844445.647,31.250,32.227,37.109,28.320,-166.016,0
1566844445.651,27.832,26.855,33.203,26.367,-153.809,0
1566844445.655,39.062,34.668,36.133,32.715,-113.281,0
1566844445.659,41.504,30.762,38.086,33.691,-88.379,0
1566844445.663,39.551,31.738,37.598,28.809,-71.289,0
1566844445.667,39.551,31.738,39.062,29.785,-76.172,0
1566844445.671,38.086,29.785,35.645,29.297,-71.777,0
1566844445.674,38.574,33.203,33.203,30.762,-67.383,0
1566844445.678,39.551,43.945,31.250,29.297,-67.871,0
1566844445.682,44.922,46.875,32.715,30.762,-44.922,0
1566844445.686,56.641,31.250,36.621,37.598,-27.832,0
1566844445.690,62.988,33.691,39.062,41.504,-25.879,0
1566844445.694,57.617,49.316,34.668,41.504,-22.461,0
1566844445.698,55.176,39.551,32.227,41.992,-16.602,0
1566844445.702,56.641,15.137,36.133,44.434,-5.859,0
1566844445.706,55.664,18.555,37.598,50.781,1.953,0
1566844445.710,59.570,35.156,40.039,57.129,3.906,0
1566844445.714,56.641,38.086,39.062,54.688,2.441,0
1566844445.717,50.781,32.715,39.551,49.805,8.301,0
1566844445.721,46.875,31.250,37.109,42.480,6.836,0
1566844445.725,42.480,38.086,35.156,40.039,5.371,0
1566844445.729,43.945,41.504,38.086,43.457,15.137,0
1566844445.733,41.992,36.621,36.133,39.551,-1.465,0
1566844445.737,38.574,30.273,40.039,41.504,-13.184,0
1566844445.741,37.598,30.762,41.992,39.551,-2.441,0
1566844445.745,33.203,33.691,39.551,37.109,9.277,0
1566844445.749,33.691,32.227,39.062,36.133,14.648,0
1566844445.753,34.668,38.574,38.574,35.645,8.789,0
1566844445.757,36.133,42.969,37.598,41.016,4.395,0
1566844445.760,36.133,39.551,37.598,43.457,5.371,0
1566844445.764,31.738,43.945,30.762,33.203,9.277,0
1566844445.768,28.320,26.367,24.902,30.273,12.695,0
1566844445.772,37.109,6.836,29.297,39.062,35.156,0
1566844445.776,38.574,34.180,28.320,35.156,30.273,0
1566844445.780,33.691,57.129,26.855,31.250,0.977,0
1566844445.784,36.621,55.176,27.344,34.668,20.020,0
1566844445.788,41.016,45.410,26.367,38.574,42.969,0
1566844445.792,39.062,40.039,24.414,31.738,38.574,0
1566844445.796,47.363,42.969,28.320,34.668,41.992,0
1566844445.799,51.758,49.316,33.691,38.086,45.898,0
1566844445.803,40.039,47.363,27.832,26.367,27.832,0
1566844445.807,34.180,49.316,25.879,26.855,20.508,0
