timestamps,X,Y,Z,Marker0
1570733930.779,0.464,0.785,-2.034,0
1570733930.799,0.538,0.740,-2.153,0
1570733930.818,0.703,0.643,-2.265,0
1570733930.838,0.778,0.613,-2.236,0
1570733930.858,0.912,0.307,-1.996,0
1570733930.878,0.793,-0.037,-1.578,0
1570733930.897,0.239,-0.120,-1.234,0
1570733930.917,-0.224,0.142,-1.555,0
1570733930.937,-0.202,0.688,-2.041,0
1570733930.956,-0.067,1.099,-2.565,0
1570733930.976,0.037,1.166,-3.125,0
1570733930.996,0.187,0.830,-3.372,0
1570733931.015,0.359,0.456,-3.140,0
1570733931.035,0.374,0.351,-2.520,0
1570733931.055,0.299,0.314,-1.959,0
1570733931.075,0.239,0.217,-1.503,0
1570733931.094,0.486,0.120,-1.495,0
1570733931.114,0.740,0.060,-1.652,0
1570733931.134,0.733,0.067,-1.765,0
1570733931.153,0.471,0.292,-1.847,0
1570733931.173,0.329,0.710,-1.854,0
1570733931.193,0.194,1.069,-1.966,0
1570733931.213,-0.030,1.136,-2.206,0
1570733931.232,0.022,0.979,-2.535,0
1570733931.252,0.194,0.650,-2.849,0
1570733931.272,0.314,0.389,-2.931,0
1570733931.291,0.314,0.247,-2.722,0
1570733931.311,0.307,0.284,-2.123,0
1570733931.331,0.052,0.344,-1.578,0
1570733931.351,0.082,0.239,-1.473,0
1570733931.370,0.030,0.179,-1.757,0
1570733931.390,0.194,0.030,-2.228,0
1570733931.410,0.516,0.052,-2.482,0
1570733931.429,0.621,0.292,-2.482,0
1570733931.449,0.546,0.381,-2.236,0
1570733931.469,0.374,0.456,-1.974,0
1570733931.488,0.419,0.636,-1.750,0
1570733931.508,0.426,0.830,-1.817,0
1570733931.528,0.284,0.748,-1.974,0
1570733931.548,-0.097,0.000,-2.258,0
1570733931.567,-1.024,-1.645,-2.408,0
1570733931.587,-3.753,-7.738,-2.415,0
1570733931.607,-6.228,-19.627,-2.714,0
1570733931.626,-7.365,-27.328,-2.236,0
1570733931.646,-9.249,-29.152,-1.122,0
1570733931.666,-11.903,-35.851,-0.733,0
1570733931.686,-11.664,-44.726,-1.114,0
1570733931.705,-11.380,-39.881,-1.069,0
1570733931.725,-8.905,-31.619,-1.854,0
1570733931.745,-5.959,-23.567,-2.430,0
1570733931.764,-2.923,-15.275,-3.731,0
1570733931.784,-0.164,-6.849,-4.404,0
1570733931.804,2.318,1.398,-4.509,0
1570733931.823,4.120,8.770,-3.813,0
1570733931.843,5.166,14.752,-2.707,0
1570733931.863,6.183,19.028,-1.787,0
1570733931.883,6.811,22.072,-1.024,0
1570733931.902,6.991,24.210,-0.598,0
1570733931.922,7.193,25.391,-0.748,0
1570733931.942,7.447,26.819,-1.308,0
