timestamps,X,Y,Z,Marker0
1573247415.560,0.890,0.688,-1.966,0
1573247415.580,0.695,0.665,-1.966,0
1573247415.600,0.471,0.793,-1.966,0
1573247415.620,0.389,0.591,-2.094,0
1573247415.639,0.508,0.508,-2.340,0
1573247415.659,0.703,0.688,-2.572,0
1573247415.679,0.613,0.972,-2.714,0
1573247415.698,0.269,0.987,-2.961,0
1573247415.718,0.150,0.942,-3.051,0
1573247415.738,0.254,0.733,-2.901,0
1573247415.758,0.441,0.733,-2.707,0
1573247415.777,0.680,0.606,-2.460,0
1573247415.797,0.748,0.486,-2.258,0
1573247415.817,0.591,0.815,-2.161,0
1573247415.836,0.658,0.665,-2.101,0
1573247415.856,0.583,0.508,-2.191,0
1573247415.876,0.583,0.658,-2.183,0
1573247415.896,0.650,0.793,-2.161,0
1573247415.915,0.389,1.122,-2.123,0
1573247415.935,0.381,1.054,-2.138,0
1573247415.955,0.396,0.658,-2.094,0
1573247415.974,0.381,0.441,-2.131,0
1573247415.994,0.419,0.381,-2.071,0
1573247416.014,0.404,0.583,-2.071,0
1573247416.033,0.531,0.643,-2.138,0
1573247416.053,0.688,0.553,-2.079,0
1573247416.073,0.718,0.479,-2.123,0
1573247416.093,0.673,0.568,-2.123,0
1573247416.112,0.710,0.755,-2.176,0
1573247416.132,0.583,0.957,-2.288,0
1573247416.152,0.441,1.122,-2.482,0
1573247416.171,0.538,1.024,-2.609,0
1573247416.191,0.479,0.920,-2.677,0
1573247416.211,0.561,0.800,-2.662,1
1573247416.231,0.508,0.793,-2.811,0
1573247416.250,0.344,1.009,-2.976,0
1573247416.270,0.404,1.219,-3.163,0
1573247416.290,0.314,1.338,-3.230,0
1573247416.309,0.314,1.136,-3.125,0
1573247416.329,0.501,1.009,-2.737,0
1573247416.349,0.733,0.718,-2.415,0
1573247416.369,0.867,0.561,-2.123,0
1573247416.388,0.875,0.374,-1.899,0
1573247416.408,0.815,0.247,-1.817,0
1573247416.428,0.621,0.673,-1.854,0
1573247416.447,0.718,0.815,-1.922,0
1573247416.467,0.508,0.957,-2.183,0
1573247416.487,0.523,1.062,-2.340,0
1573247416.506,0.546,0.763,-2.579,0
