timestamps,X,Y,Z,Marker0
1574374564.995,-0.083,0.159,0.976,0
1574374565.015,-0.082,0.160,0.978,0
1574374565.035,-0.084,0.157,0.980,0
1574374565.055,-0.084,0.157,0.980,0
1574374565.075,-0.086,0.155,0.981,0
1574374565.095,-0.086,0.155,0.980,0
1574374565.114,-0.082,0.156,0.977,0
1574374565.134,-0.080,0.157,0.975,0
1574374565.154,-0.078,0.156,0.977,0
1574374565.174,-0.081,0.156,0.977,0
1574374565.194,-0.085,0.156,0.972,0
1574374565.214,-0.076,0.160,0.976,0
1574374565.234,-0.078,0.155,0.987,0
1574374565.253,-0.081,0.154,0.982,0
1574374565.273,-0.083,0.154,0.974,0
1574374565.293,-0.084,0.156,0.974,0
1574374565.313,-0.083,0.158,0.979,0
1574374565.333,-0.077,0.160,0.979,0
1574374565.353,-0.076,0.161,0.979,0
1574374565.373,-0.076,0.160,0.980,0
1574374565.392,-0.078,0.161,0.977,0
1574374565.412,-0.081,0.161,0.975,0
1574374565.432,-0.081,0.163,0.975,0
1574374565.452,-0.083,0.165,0.977,0
1574374565.472,-0.088,0.162,0.979,0
1574374565.492,-0.085,0.163,0.977,0
1574374565.512,-0.078,0.166,0.981,0
1574374565.531,-0.079,0.165,0.981,0
1574374565.551,-0.080,0.161,0.981,0
1574374565.571,-0.081,0.161,0.979,0
1574374565.591,-0.083,0.161,0.974,0
1574374565.611,-0.084,0.158,0.976,0
1574374565.631,-0.081,0.159,0.977,0
1574374565.651,-0.079,0.161,0.977,0
1574374565.670,-0.078,0.161,0.978,0
1574374565.690,-0.076,0.160,0.977,0
1574374565.710,-0.077,0.161,0.977,0
1574374565.730,-0.079,0.160,0.979,0
1574374565.750,-0.083,0.159,0.976,0
1574374565.770,-0.082,0.160,0.979,0
1574374565.790,-0.083,0.159,0.979,0
1574374565.809,-0.083,0.158,0.977,0
1574374565.829,-0.082,0.159,0.974,0
1574374565.849,-0.079,0.161,0.975,0
1574374565.869,-0.080,0.161,0.978,0
1574374565.889,-0.081,0.161,0.977,0
1574374565.909,-0.081,0.162,0.973,0
1574374565.928,-0.080,0.160,0.978,0
1574374565.948,-0.083,0.159,0.980,0
1574374565.968,-0.083,0.158,0.980,0
1574374565.988,-0.084,0.159,0.979,0
1574374566.008,-0.083,0.157,0.980,0
1574374566.028,-0.080,0.158,0.975,0
1574374566.048,-0.080,0.156,0.976,0
1574374566.067,-0.077,0.157,0.979,0
1574374566.087,-0.082,0.157,0.977,0
1574374566.107,-0.078,0.163,0.971,0
1574374566.127,-0.073,0.163,0.978,0
1574374566.147,-0.078,0.158,0.987,0
1574374566.167,-0.081,0.153,0.981,0
1574374566.187,-0.082,0.155,0.977,0
1574374566.206,-0.084,0.155,0.977,0
1574374566.226,-0.084,0.158,0.974,0
1574374566.246,-0.080,0.160,0.978,0
1574374566.266,-0.081,0.161,0.977,0
1574374566.286,-0.080,0.162,0.978,0
1574374566.306,-0.081,0.161,0.973,0
1574374566.326,-0.079,0.161,0.975,0
1574374566.345,-0.080,0.160,0.976,0
1574374566.365,-0.081,0.161,0.980,0
1574374566.385,-0.083,0.161,0.985,0
1574374566.405,-0.087,0.160,0.984,0
1574374566.425,-0.082,0.163,0.980,0
1574374566.445,-0.081,0.163,0.976,0
1574374566.465,-0.084,0.160,0.979,0
1574374566.484,-0.088,0.156,0.979,0
1574374566.504,-0.086,0.154,0.977,0
1574374566.524,-0.084,0.155,0.974,0
1574374566.544,-0.077,0.156,0.976,0
1574374566.564,-0.074,0.157,0.979,0
1574374566.584,-0.075,0.156,0.979,0
1574374566.604,-0.074,0.155,0.979,0
1574374566.623,-0.074,0.156,0.978,0
1574374566.643,-0.076,0.155,0.977,0
1574374566.663,-0.077,0.154,0.976,0
1574374566.683,-0.076,0.155,0.978,0
1574374566.703,-0.079,0.156,0.980,0
1574374566.723,-0.081,0.157,0.978,0
1574374566.743,-0.078,0.158,0.977,0
1574374566.762,-0.077,0.162,0.982,0
1574374566.782,-0.077,0.162,0.980,0
1574374566.802,-0.080,0.156,0.972,0
1574374566.822,-0.085,0.155,0.971,0
1574374566.842,-0.090,0.154,0.981,0
1574374566.862,-0.088,0.156,0.986,0
1574374566.882,-0.084,0.159,0.983,0
1574374566.901,-0.079,0.159,0.977,0
1574374566.921,-0.080,0.158,0.969,0
1574374566.941,-0.096,0.158,0.958,0
1574374566.961,-0.094,0.145,0.969,0
1574374566.981,-0.096,0.140,0.967,0
1574374567.001,-0.106,0.139,0.955,0
1574374567.021,-0.119,0.148,0.924,0
1574374567.040,-0.124,0.156,0.934,0
1574374567.060,-0.123,0.149,0.973,0
1574374567.080,-0.126,0.165,0.971,0
1574374567.100,-0.125,0.180,0.973,0
1574374567.120,-0.119,0.202,0.979,0
1574374567.140,-0.137,0.206,0.970,0
1574374567.160,-0.155,0.204,0.957,0
1574374567.179,-0.149,0.210,0.971,0
1574374567.199,-0.133,0.230,0.992,0
1574374567.219,-0.142,0.240,0.976,0
1574374567.239,-0.135,0.228,0.974,0
1574374567.259,-0.141,0.228,0.962,0
1574374567.279,-0.149,0.245,0.948,0
1574374567.299,-0.159,0.246,0.942,0
1574374567.318,-0.159,0.234,0.952,0
1574374567.338,-0.174,0.245,0.944,0
1574374567.358,-0.188,0.259,0.948,0
1574374567.378,-0.185,0.256,0.966,0
1574374567.398,-0.180,0.272,0.965,0
1574374567.418,-0.208,0.267,0.938,0
1574374567.438,-0.217,0.269,0.924,0
1574374567.457,-0.222,0.256,0.922,0
1574374567.477,-0.241,0.263,0.912,0
1574374567.497,-0.252,0.275,0.905,0
1574374567.517,-0.260,0.272,0.917,0
1574374567.537,-0.259,0.282,0.937,0
1574374567.557,-0.271,0.281,0.940,0
