timestamps,X,Y,Z,Marker0
1574460509.701,0.112,-1.032,-1.136,0
1574460509.721,0.127,-1.346,-1.174,0
1574460509.740,0.135,-1.727,-0.830,0
1574460509.760,0.097,-1.951,-0.374,0
1574460509.780,0.000,-1.757,0.030,0
1574460509.799,-0.187,-1.323,0.127,0
1574460509.819,-0.411,-1.069,-0.105,0
1574460509.839,-0.493,-0.875,-0.374,0
1574460509.859,-0.396,-0.598,-0.778,0
1574460509.878,-0.277,-0.284,-1.271,0
1574460509.898,-0.269,-0.112,-1.802,0
1574460509.918,-0.456,-0.314,-2.228,0
1574460509.937,-0.531,-0.613,-2.415,0
1574460509.957,-0.344,-0.807,-2.303,0
1574460509.977,0.179,-0.680,-2.251,0
1574460509.997,0.621,-0.389,-2.079,0
1574460510.016,0.807,-0.344,-1.652,0
1574460510.036,0.979,-0.209,-1.144,0
1574460510.056,1.062,-0.292,-0.673,0
1574460510.075,1.107,-0.202,-0.680,0
1574460510.095,1.174,-0.449,-0.718,0
1574460510.115,1.024,-1.039,-0.576,0
1574460510.134,0.927,-1.099,-0.434,0
1574460510.154,0.965,-0.688,-0.479,0
1574460510.174,1.032,-0.194,-0.598,0
1574460510.194,1.039,0.052,-0.523,0
1574460510.213,1.099,0.262,-0.434,0
1574460510.233,1.077,0.329,-0.456,0
1574460510.253,0.935,0.254,-0.755,0
1574460510.272,0.950,0.000,-1.069,0
1574460510.292,1.249,-0.105,-1.271,0
1574460510.312,1.338,-0.082,-1.540,0
1574460510.332,1.189,0.067,-1.608,0
1574460510.351,1.017,0.284,-1.503,0
1574460510.371,0.688,0.658,-1.495,0
1574460510.391,0.710,0.852,-1.241,0
1574460510.410,0.965,1.084,-0.800,0
1574460510.430,1.286,1.264,-0.479,0
1574460510.450,1.660,1.585,-0.464,0
1574460510.469,1.705,1.735,-0.254,0
1574460510.489,1.622,1.600,-0.045,0
1574460510.509,1.750,1.914,0.060,0
1574460510.529,1.974,2.026,-0.007,0
1574460510.548,2.034,2.340,-0.052,0
1574460510.568,2.079,2.505,-0.037,0
1574460510.588,1.951,2.669,0.007,0
1574460510.607,1.555,2.796,-0.187,0
1574460510.627,1.211,2.707,-0.434,0
1574460510.647,0.860,2.198,-0.912,0
1574460510.667,0.837,1.951,-1.495,0
1574460510.686,1.054,1.391,-1.854,0
1574460510.706,1.159,1.249,-1.884,0
1574460510.726,1.159,1.264,-1.637,0
1574460510.745,1.047,1.421,-1.323,0
1574460510.765,1.009,1.443,-1.002,0
1574460510.785,1.032,1.510,-0.479,0
1574460510.805,0.897,1.383,-0.307,0
1574460510.824,0.449,0.920,-0.643,0
1574460510.844,0.120,0.336,-1.136,0
1574460510.864,0.142,-0.232,-1.518,0
1574460510.883,0.336,-0.583,-1.682,0
1574460510.903,0.314,-0.965,-1.615,0
1574460510.923,0.269,-1.017,-1.548,0
1574460510.942,0.307,-0.516,-1.428,0
1574460510.962,0.314,0.097,-1.286,0
1574460510.982,0.247,0.374,-1.077,0
1574460511.002,0.329,0.269,-0.965,0
1574460511.021,0.568,0.292,-0.778,0
1574460511.041,0.957,0.576,-0.404,0
1574460511.061,1.323,0.763,-0.209,0
1574460511.080,1.413,0.793,-0.120,0
1574460511.100,1.615,0.807,-0.224,0
1574460511.120,1.944,1.062,-0.359,0
1574460511.140,2.191,1.555,-0.359,0
1574460511.159,2.236,1.570,-0.531,0
1574460511.179,2.408,1.600,-0.546,0
1574460511.199,2.729,2.049,-0.187,0
1574460511.218,3.424,2.303,0.860,0
1574460511.238,4.366,2.737,2.520,0
1574460511.258,5.690,3.910,5.264,0
1574460511.278,7.447,6.176,9.720,0
1574460511.297,7.791,9.727,13.099,0
1574460511.317,7.252,13.167,14.595,0
1574460511.337,6.953,16.180,17.219,0
1574460511.356,7.559,19.485,22.400,0
1574460511.376,9.339,25.144,29.070,0
1574460511.396,11.716,32.905,37.347,0
1574460511.415,14.273,41.055,46.065,0
1574460511.435,16.404,49.437,52.577,0
1574460511.455,16.913,54.483,57.265,0
1574460511.475,15.948,52.196,59.104,0
1574460511.494,14.109,48.741,56.173,0
1574460511.514,13.421,47.081,49.048,0
1574460511.534,13.959,47.066,38.827,0
1574460511.553,14.527,43.941,26.595,0
1574460511.573,17.436,39.597,14.969,0
1574460511.593,22.214,39.036,5.757,0
1574460511.613,25.817,39.986,-2.019,0
1574460511.632,25.877,36.719,-10.774,0
1574460511.652,23.836,30.094,-19.499,0
1574460511.672,22.498,25.309,-24.786,0
1574460511.691,20.898,23.903,-23.986,0
1574460511.711,19.141,21.929,-19.305,0
1574460511.731,18.251,19.402,-11.163,0
1574460511.751,17.735,17.795,0.105,0
1574460511.770,18.655,18.894,12.561,0
1574460511.790,22.393,22.715,26.034,0
1574460511.810,27.672,27.567,41.466,0
1574460511.829,33.167,33.474,56.128,0
1574460511.849,36.277,39.268,68.757,0
1574460511.869,34.692,40.988,78.447,0
1574460511.888,29.840,37.362,83.321,0
1574460511.908,24.584,32.913,82.349,0
1574460511.928,20.023,29.234,76.121,0
1574460511.948,15.716,26.214,67.366,0
1574460511.967,11.357,21.847,56.240,0
1574460511.987,6.707,16.995,42.790,0
1574460512.007,0.366,13.062,27.133,0
1574460512.026,-7.058,8.576,10.243,0
1574460512.046,-10.976,5.069,-4.000,0
1574460512.066,-10.303,4.434,-12.808,0
1574460512.086,-6.512,7.208,-15.828,0
1574460512.105,-2.198,8.023,-14.019,0
1574460512.125,0.643,5.652,-8.927,0
1574460512.145,2.161,2.699,-1.622,0
1574460512.164,2.961,0.935,6.116,0
1574460512.184,3.275,0.950,12.823,0
1574460512.204,3.731,1.750,18.356,0
1574460512.223,4.523,2.355,23.178,0
1574460512.243,4.404,2.243,26.416,0
1574460512.263,1.779,1.697,26.184,0
1574460512.283,-3.589,0.150,23.716,0
1574460512.302,-8.486,-4.112,20.763,0
1574460512.322,-10.281,-8.314,17.608,0
1574460512.342,-10.438,-9.690,14.468,0
1574460512.361,-8.479,-10.602,11.096,0
1574460512.381,-3.664,-9.967,7.410,0
1574460512.401,1.989,-8.875,4.217,0
1574460512.421,6.916,-8.524,2.019,0
1574460512.440,10.228,-7.671,0.045,0
1574460512.460,12.980,-6.460,-1.802,0
1574460512.480,17.369,-5.750,-1.675,0
1574460512.499,23.006,-5.129,1.742,0
1574460512.519,28.636,-4.060,8.038,0
1574460512.539,32.905,-3.634,18.707,0
1574460512.559,36.248,-5.077,32.943,0
1574460512.578,39.777,-5.533,49.123,0
1574460512.598,42.625,-7.148,66.828,0
1574460512.618,43.507,-8.254,80.278,0
1574460512.637,42.139,-6.699,87.307,0
1574460512.657,41.175,-3.021,91.157,0
1574460512.677,40.958,1.817,91.254,0
1574460512.696,39.552,7.006,86.656,0
1574460512.716,37.324,11.073,79.336,0
1574460512.736,34.461,13.234,69.437,0
1574460512.756,31.373,13.907,57.796,0
1574460512.775,29.758,13.189,46.431,0
1574460512.795,29.197,13.204,36.524,0
1574460512.815,28.546,14.049,28.330,0
1574460512.834,27.597,14.041,22.677,0
1574460512.854,25.937,14.131,17.533,0
1574460512.874,23.402,16.150,11.402,0
1574460512.894,19.828,19.171,3.447,0
1574460512.913,15.933,20.928,-6.520,0
1574460512.933,11.290,21.967,-19.447,0
1574460512.953,6.004,23.649,-34.333,0
1574460512.972,1.907,24.382,-47.298,0
1574460512.992,-0.202,21.346,-57.429,0
1574460513.012,-0.598,16.030,-65.930,0
1574460513.032,0.793,11.567,-71.747,0
1574460513.051,2.804,11.238,-73.385,0
1574460513.071,2.759,12.606,-69.773,0
1574460513.091,1.054,11.970,-64.383,0
1574460513.110,-0.299,10.355,-59.545,0
1574460513.130,-0.621,7.664,-54.311,0
1574460513.150,-1.488,3.036,-46.939,0
1574460513.169,-4.344,-3.948,-40.644,0
1574460513.189,-9.839,-8.882,-36.920,0
1574460513.209,-16.516,-11.701,-35.859,0
1574460513.229,-20.898,-12.957,-36.711,0
1574460513.248,-22.400,-14.378,-36.913,0
1574460513.268,-23.088,-16.412,-35.739,0
1574460513.288,-24.890,-18.759,-33.705,0
1574460513.307,-26.909,-19.402,-31.799,0
1574460513.327,-28.173,-18.430,-29.967,0
1574460513.347,-28.823,-17.399,-27.642,0
1574460513.367,-28.001,-15.866,-25.204,0
1574460513.386,-25.429,-14.490,-23.029,0
1574460513.406,-20.830,-12.845,-21.286,0
1574460513.426,-14.684,-10.580,-20.247,0
1574460513.445,-8.082,-8.524,-19.036,0
1574460513.465,-1.705,-7.215,-16.965,0
1574460513.485,3.477,-5.398,-14.542,0
1574460513.505,6.864,-3.671,-13.144,0
1574460513.524,8.344,-1.301,-12.957,0
1574460513.544,8.254,-1.675,-12.703,0
1574460513.564,8.023,-4.142,-12.434,0
1574460513.583,9.727,-3.282,-11.417,0
1574460513.603,13.084,-0.935,-9.256,0
1574460513.623,15.671,-0.224,-7.095,0
1574460513.642,16.838,-0.591,-5.832,0
1574460513.662,16.957,-0.628,-5.241,0
1574460513.682,17.376,2.049,-5.226,0
1574460513.702,18.199,7.843,-4.441,0
1574460513.721,17.137,11.948,-2.684,0
1574460513.741,13.757,11.686,-1.533,0
1574460513.761,10.011,10.438,-1.323,0
1574460513.780,7.417,10.325,-1.675,0
1574460513.800,4.950,11.305,-2.684,0
1574460513.820,2.826,11.656,-3.866,0
1574460513.840,2.460,11.140,-4.576,0
1574460513.859,3.103,10.311,-4.673,0
1574460513.879,3.387,10.438,-5.152,0
1574460513.899,3.342,11.462,-6.079,0
1574460513.918,2.826,11.679,-6.647,0
1574460513.938,1.787,10.789,-7.230,0
1574460513.958,-0.247,9.189,-8.142,0
1574460513.977,-2.258,7.738,-9.226,0
1574460513.997,-3.230,6.393,-10.064,0
1574460514.017,-3.297,5.421,-10.752,0
1574460514.037,-2.699,4.127,-11.193,0
1574460514.056,-1.204,3.043,-11.275,0
1574460514.076,0.538,3.051,-10.916,0
1574460514.096,1.697,3.925,-10.482,0
1574460514.115,2.183,4.052,-10.034,0
1574460514.135,2.295,4.209,-9.839,0
1574460514.155,2.594,5.443,-9.578,0
1574460514.175,2.176,6.938,-8.912,0
1574460514.194,0.979,8.120,-8.322,0
1574460514.214,0.172,10.243,-7.544,0
1574460514.234,-0.120,12.337,-6.909,0
1574460514.253,0.150,12.598,-6.624,0
1574460514.273,0.710,11.036,-6.378,0
1574460514.293,1.219,8.224,-6.206,0
1574460514.313,1.234,5.069,-6.026,0
1574460514.332,0.284,2.460,-6.400,0
1574460514.352,-1.570,0.441,-7.081,0
1574460514.372,-3.551,-1.331,-7.604,0
1574460514.391,-4.703,-3.006,-7.776,0
1574460514.411,-5.286,-4.277,-7.447,0
1574460514.431,-5.578,-5.032,-6.475,0
1574460514.450,-5.383,-5.077,-4.957,0
1574460514.470,-4.987,-3.978,-2.953,0
1574460514.490,-4.823,-1.802,-1.144,0
1574460514.510,-5.563,1.368,-0.194,0
1574460514.529,-6.968,4.568,-0.718,0
1574460514.549,-8.329,7.178,-2.049,0
1574460514.569,-9.062,8.337,-3.342,0
1574460514.588,-9.189,8.277,-4.337,0
1574460514.608,-9.413,7.335,-5.585,0
1574460514.628,-9.585,5.503,-6.849,0
1574460514.648,-9.279,3.148,-7.918,0
1574460514.667,-8.030,1.181,-8.329,0
1574460514.687,-6.542,-0.052,-7.454,0
1574460514.707,-5.533,-1.750,-5.585,0
1574460514.726,-4.449,-3.185,-3.215,0
1574460514.746,-4.008,-3.260,-1.286,0
1574460514.766,-4.082,-2.886,-0.284,0
1574460514.786,-4.023,-2.460,0.434,0
1574460514.805,-3.776,-2.138,0.950,0
1574460514.825,-3.282,-1.622,1.084,0
1574460514.845,-2.482,-0.882,0.935,0
1574460514.864,-1.428,0.172,0.479,0
1574460514.884,-0.650,1.174,-0.262,0
1574460514.904,0.262,1.877,-1.196,0
1574460514.923,1.578,2.834,-2.034,0
1574460514.943,2.452,3.708,-2.512,0
1574460514.963,2.722,3.910,-2.774,0
1574460514.983,2.737,3.596,-3.013,0
1574460515.002,2.804,3.537,-3.140,0
1574460515.022,2.804,3.036,-2.938,0
1574460515.042,2.849,2.408,-2.393,0
1574460515.061,3.193,1.383,-1.421,0
1574460515.081,4.015,0.359,-0.419,0
1574460515.101,4.680,0.045,0.217,0
1574460515.121,5.114,0.479,0.471,0
1574460515.140,4.688,0.546,-0.022,0
1574460515.160,3.813,0.052,-0.972,0
1574460515.180,2.804,-0.359,-2.557,0
1574460515.199,2.363,-0.135,-3.978,0
1574460515.219,1.832,0.733,-4.897,0
1574460515.239,1.555,0.897,-5.346,0
1574460515.259,1.660,0.860,-5.286,0
1574460515.278,2.295,0.351,-4.830,0
1574460515.298,3.671,-0.135,-3.626,0
1574460515.318,5.174,-1.062,-2.183,0
1574460515.337,5.383,-1.824,-0.994,0
1574460515.357,4.568,-1.824,-0.613,0
1574460515.377,3.566,-1.877,-0.793,0
1574460515.396,2.834,-2.707,-0.523,0
1574460515.416,1.892,-3.581,-0.112,0
1574460515.436,0.374,-4.404,-0.030,0
1574460515.456,-0.336,-5.122,-0.531,0
1574460515.475,0.262,-5.578,-1.563,0
1574460515.495,1.697,-6.123,-2.542,0
1574460515.515,2.946,-6.931,-2.804,0
1574460515.534,3.813,-7.365,-3.043,0
1574460515.554,3.806,-7.679,-3.282,0
1574460515.574,3.529,-8.120,-4.097,0
1574460515.594,4.090,-8.344,-4.374,0
1574460515.613,4.172,-9.077,-3.978,0
