timestamps,X,Y,Z,Marker0
1562873520.207,-0.486,0.077,0.875,0
1562873520.227,-0.485,0.076,0.874,0
1562873520.247,-0.486,0.076,0.873,0
1562873520.266,-0.487,0.077,0.872,0
1562873520.286,-0.486,0.077,0.873,0
1562873520.306,-0.488,0.078,0.873,0
1562873520.326,-0.489,0.077,0.874,0
1562873520.345,-0.489,0.078,0.874,0
1562873520.365,-0.490,0.076,0.878,0
1562873520.385,-0.489,0.076,0.875,0
1562873520.405,-0.486,0.076,0.872,0
1562873520.425,-0.484,0.073,0.871,0
1562873520.444,-0.483,0.075,0.869,0
1562873520.464,-0.482,0.077,0.871,0
1562873520.484,-0.485,0.079,0.874,0
1562873520.504,-0.485,0.078,0.875,0
1562873520.523,-0.487,0.076,0.875,0
1562873520.543,-0.488,0.075,0.875,0
1562873520.563,-0.490,0.076,0.875,0
1562873520.583,-0.491,0.076,0.873,0
1562873520.603,-0.489,0.077,0.871,0
1562873520.622,-0.490,0.079,0.871,0
1562873520.642,-0.488,0.078,0.871,0
1562873520.662,-0.487,0.079,0.872,0
1562873520.682,-0.485,0.079,0.874,0
1562873520.702,-0.484,0.078,0.873,0
1562873520.721,-0.486,0.076,0.874,0
1562873520.741,-0.486,0.076,0.876,0
1562873520.761,-0.486,0.076,0.874,0
1562873520.781,-0.484,0.076,0.874,0
1562873520.800,-0.484,0.076,0.874,0
1562873520.820,-0.485,0.076,0.874,0
1562873520.840,-0.486,0.077,0.872,0
1562873520.860,-0.488,0.078,0.872,0
1562873520.880,-0.490,0.079,0.872,0
1562873520.899,-0.491,0.078,0.872,0
1562873520.919,-0.490,0.079,0.872,0
1562873520.939,-0.490,0.077,0.873,0
1562873520.959,-0.488,0.079,0.874,0
1562873520.979,-0.486,0.078,0.874,0
1562873520.998,-0.484,0.077,0.873,0
1562873521.018,-0.486,0.079,0.874,0
1562873521.038,-0.487,0.077,0.874,0
1562873521.058,-0.489,0.076,0.875,0
1562873521.077,-0.487,0.076,0.873,0
1562873521.097,-0.487,0.075,0.871,0
1562873521.117,-0.488,0.077,0.869,0
1562873521.137,-0.489,0.078,0.869,0
1562873521.157,-0.489,0.079,0.872,0
1562873521.176,-0.488,0.079,0.872,0
1562873521.196,-0.488,0.078,0.874,0
1562873521.216,-0.487,0.077,0.875,0
1562873521.236,-0.486,0.076,0.876,0
1562873521.255,-0.489,0.074,0.876,0
1562873521.275,-0.488,0.076,0.871,0
1562873521.295,-0.492,0.076,0.873,0
1562873521.315,-0.490,0.077,0.870,0
1562873521.335,-0.486,0.078,0.869,0
1562873521.354,-0.486,0.079,0.871,0
1562873521.374,-0.485,0.079,0.873,0
1562873521.394,-0.483,0.080,0.872,0
1562873521.414,-0.487,0.079,0.875,0
1562873521.434,-0.488,0.079,0.876,0
1562873521.453,-0.489,0.078,0.875,0
1562873521.473,-0.489,0.078,0.874,0
1562873521.493,-0.489,0.076,0.873,0
1562873521.513,-0.488,0.074,0.871,0
1562873521.532,-0.487,0.075,0.871,0
1562873521.552,-0.488,0.075,0.871,0
1562873521.572,-0.490,0.076,0.872,0
1562873521.592,-0.489,0.077,0.871,0
1562873521.612,-0.490,0.077,0.871,0
1562873521.631,-0.489,0.078,0.872,0
1562873521.651,-0.489,0.078,0.873,0
1562873521.671,-0.489,0.079,0.874,0
1562873521.691,-0.490,0.078,0.876,0
1562873521.710,-0.489,0.078,0.872,0
1562873521.730,-0.490,0.077,0.873,0
1562873521.750,-0.491,0.078,0.874,0
1562873521.770,-0.493,0.078,0.879,0
1562873521.790,-0.495,0.077,0.874,0
1562873521.809,-0.496,0.076,0.875,0
1562873521.829,-0.493,0.076,0.875,0
1562873521.849,-0.483,0.075,0.876,0
1562873521.869,-0.479,0.070,0.881,0
1562873521.889,-0.477,0.059,0.870,0
1562873521.908,-0.475,0.051,0.862,0
1562873521.928,-0.479,0.045,0.859,0
1562873521.948,-0.481,0.044,0.856,0
1562873521.968,-0.473,0.056,0.879,0
1562873521.987,-0.476,0.064,0.877,0
1562873522.007,-0.486,0.068,0.880,0
1562873522.027,-0.497,0.064,0.873,0
1562873522.047,-0.500,0.067,0.872,0
1562873522.067,-0.499,0.065,0.875,0
1562873522.086,-0.503,0.065,0.882,0
1562873522.106,-0.500,0.064,0.873,0
1562873522.126,-0.487,0.064,0.875,0
1562873522.146,-0.478,0.063,0.878,0
1562873522.166,-0.471,0.063,0.878,0
1562873522.185,-0.471,0.059,0.883,0
1562873522.205,-0.479,0.056,0.877,0
1562873522.225,-0.482,0.055,0.878,0
1562873522.245,-0.485,0.054,0.875,0
1562873522.264,-0.490,0.049,0.876,0
1562873522.284,-0.489,0.044,0.873,0
1562873522.304,-0.486,0.042,0.872,0
1562873522.324,-0.485,0.041,0.874,0
1562873522.344,-0.486,0.041,0.875,0
1562873522.363,-0.489,0.041,0.875,0
1562873522.383,-0.488,0.043,0.877,0
1562873522.403,-0.490,0.043,0.876,0
1562873522.423,-0.492,0.039,0.878,0
1562873522.442,-0.484,0.039,0.877,0
1562873522.462,-0.478,0.035,0.873,0
1562873522.482,-0.470,0.035,0.875,0
1562873522.502,-0.464,0.031,0.878,0
1562873522.522,-0.462,0.032,0.875,0
1562873522.541,-0.467,0.032,0.876,0
1562873522.561,-0.489,0.038,0.866,0
1562873522.581,-0.500,0.039,0.874,0
1562873522.601,-0.503,0.042,0.877,0
1562873522.621,-0.506,0.042,0.877,0
1562873522.640,-0.500,0.048,0.885,0
1562873522.660,-0.497,0.047,0.873,0
1562873522.680,-0.489,0.045,0.871,0
1562873522.700,-0.487,0.044,0.857,0
1562873522.719,-0.477,0.044,0.871,0
1562873522.739,-0.465,0.035,0.870,0
1562873522.759,-0.420,0.039,0.894,0
1562873522.779,-0.438,0.046,0.911,0
1562873522.799,-0.472,0.045,0.882,0
1562873522.818,-0.502,0.044,0.866,0
