timestamps,X,Y,Z,Marker0
1574460509.703,0.196,0.059,0.970,0
1574460509.723,0.192,0.060,0.970,0
1574460509.743,0.190,0.060,0.970,0
1574460509.763,0.193,0.062,0.974,0
1574460509.782,0.195,0.064,0.975,0
1574460509.802,0.195,0.066,0.977,0
1574460509.822,0.197,0.066,0.978,0
1574460509.841,0.197,0.068,0.980,0
1574460509.861,0.199,0.070,0.978,0
1574460509.881,0.195,0.069,0.973,0
1574460509.900,0.195,0.070,0.966,0
1574460509.920,0.195,0.069,0.970,0
1574460509.940,0.192,0.068,0.977,0
1574460509.960,0.191,0.069,0.982,0
1574460509.979,0.188,0.067,0.978,0
1574460509.999,0.185,0.068,0.974,0
1574460510.019,0.186,0.066,0.975,0
1574460510.038,0.187,0.065,0.972,0
1574460510.058,0.196,0.067,0.979,0
1574460510.078,0.191,0.062,0.976,0
1574460510.098,0.190,0.063,0.967,0
1574460510.117,0.186,0.062,0.971,0
1574460510.137,0.191,0.063,0.979,0
1574460510.157,0.189,0.063,0.982,0
1574460510.176,0.188,0.061,0.980,0
1574460510.196,0.188,0.060,0.977,0
1574460510.216,0.190,0.063,0.976,0
1574460510.235,0.193,0.065,0.975,0
1574460510.255,0.190,0.065,0.974,0
1574460510.275,0.191,0.064,0.976,0
1574460510.295,0.186,0.063,0.974,0
1574460510.314,0.183,0.061,0.971,0
1574460510.334,0.183,0.060,0.974,0
1574460510.354,0.185,0.062,0.975,0
1574460510.373,0.183,0.062,0.979,0
1574460510.393,0.182,0.062,0.982,0
1574460510.413,0.185,0.062,0.981,0
1574460510.433,0.189,0.062,0.981,0
1574460510.452,0.187,0.062,0.973,0
1574460510.472,0.187,0.059,0.969,0
1574460510.492,0.190,0.061,0.977,0
1574460510.511,0.189,0.060,0.978,0
1574460510.531,0.191,0.059,0.977,0
1574460510.551,0.190,0.057,0.976,0
1574460510.571,0.192,0.057,0.977,0
1574460510.590,0.197,0.060,0.972,0
1574460510.610,0.196,0.058,0.966,0
1574460510.630,0.204,0.060,0.969,0
1574460510.649,0.207,0.060,0.974,0
1574460510.669,0.203,0.056,0.970,0
1574460510.689,0.201,0.056,0.973,0
1574460510.708,0.200,0.054,0.972,0
1574460510.728,0.203,0.052,0.976,0
1574460510.748,0.202,0.051,0.980,0
1574460510.768,0.200,0.050,0.980,0
1574460510.787,0.206,0.053,0.973,0
1574460510.807,0.214,0.056,0.967,0
1574460510.827,0.214,0.056,0.969,0
1574460510.846,0.210,0.057,0.973,0
1574460510.866,0.205,0.053,0.969,0
1574460510.886,0.202,0.055,0.969,0
1574460510.906,0.198,0.055,0.970,0
1574460510.925,0.199,0.055,0.975,0
1574460510.945,0.199,0.055,0.976,0
1574460510.965,0.200,0.057,0.974,0
1574460510.984,0.198,0.055,0.974,0
1574460511.004,0.201,0.055,0.978,0
1574460511.024,0.201,0.057,0.980,0
1574460511.044,0.201,0.058,0.977,0
1574460511.063,0.201,0.061,0.972,0
1574460511.083,0.204,0.059,0.970,0
1574460511.103,0.203,0.057,0.975,0
1574460511.122,0.206,0.056,0.978,0
1574460511.142,0.206,0.057,0.970,0
1574460511.162,0.208,0.056,0.972,0
1574460511.181,0.201,0.052,0.980,0
1574460511.201,0.193,0.048,0.982,0
1574460511.221,0.190,0.046,0.988,0
1574460511.241,0.175,0.037,0.991,0
1574460511.260,0.155,0.032,0.999,0
1574460511.280,0.184,0.046,0.982,0
1574460511.300,0.199,0.047,0.985,0
1574460511.319,0.179,0.025,0.985,0
1574460511.339,0.153,0.006,0.995,0
1574460511.359,0.150,0.001,1.022,0
1574460511.379,0.129,-0.007,1.026,0
1574460511.398,0.134,0.010,1.015,0
1574460511.418,0.166,0.039,0.997,0
1574460511.438,0.174,0.061,0.939,0
1574460511.457,0.222,0.087,0.850,0
1574460511.477,0.314,0.124,0.872,0
1574460511.497,0.378,0.139,0.904,0
1574460511.517,0.440,0.145,0.914,0
1574460511.536,0.466,0.135,0.893,0
1574460511.556,0.469,0.107,0.924,0
1574460511.576,0.491,0.071,0.940,0
1574460511.595,0.506,0.062,0.937,0
1574460511.615,0.534,0.061,0.862,0
1574460511.635,0.538,0.034,0.834,0
1574460511.654,0.516,-0.023,0.860,0
1574460511.674,0.497,-0.074,0.873,0
1574460511.694,0.479,-0.106,0.870,0
1574460511.714,0.431,-0.136,0.878,0
1574460511.733,0.405,-0.159,0.880,0
1574460511.753,0.401,-0.172,0.895,0
1574460511.773,0.397,-0.189,0.933,0
1574460511.792,0.386,-0.195,0.929,0
1574460511.812,0.406,-0.180,0.916,0
1574460511.832,0.426,-0.161,0.863,0
1574460511.852,0.451,-0.125,0.777,0
1574460511.871,0.478,-0.088,0.711,0
1574460511.891,0.537,-0.048,0.705,0
1574460511.911,0.604,-0.018,0.721,0
1574460511.930,0.633,0.008,0.729,0
1574460511.950,0.688,0.020,0.715,0
1574460511.970,0.739,0.032,0.735,0
1574460511.989,0.764,0.054,0.723,0
1574460512.009,0.780,0.073,0.688,0
1574460512.029,0.746,0.059,0.753,0
1574460512.049,0.701,0.032,0.768,0
1574460512.068,0.698,0.010,0.835,0
1574460512.088,0.663,-0.011,0.808,0
1574460512.108,0.645,-0.017,0.761,0
1574460512.127,0.621,-0.019,0.745,0
1574460512.147,0.609,-0.013,0.738,0
1574460512.167,0.607,0.006,0.748,0
1574460512.187,0.608,0.030,0.781,0
1574460512.206,0.612,0.055,0.812,0
1574460512.226,0.621,0.091,0.801,0
1574460512.246,0.640,0.142,0.771,0
1574460512.265,0.648,0.191,0.744,0
1574460512.285,0.626,0.222,0.774,0
1574460512.305,0.622,0.237,0.789,0
1574460512.325,0.614,0.256,0.778,0
1574460512.344,0.591,0.261,0.771,0
1574460512.364,0.584,0.260,0.844,0
1574460512.384,0.559,0.250,0.854,0
1574460512.403,0.530,0.240,0.835,0
1574460512.423,0.519,0.236,0.835,0
1574460512.443,0.514,0.226,0.849,0
1574460512.462,0.492,0.200,0.876,0
1574460512.482,0.468,0.179,0.882,0
1574460512.502,0.454,0.159,0.859,0
1574460512.522,0.410,0.148,0.842,0
1574460512.541,0.367,0.127,0.834,0
1574460512.561,0.398,0.099,0.858,0
1574460512.581,0.386,0.074,0.831,0
1574460512.600,0.436,0.100,0.807,0
1574460512.620,0.481,0.122,0.806,0
1574460512.640,0.522,0.117,0.838,0
1574460512.660,0.577,0.133,0.864,0
1574460512.679,0.635,0.151,0.846,0
1574460512.699,0.665,0.163,0.815,0
1574460512.719,0.698,0.184,0.811,0
1574460512.738,0.715,0.201,0.804,0
1574460512.758,0.715,0.196,0.805,0
1574460512.778,0.719,0.206,0.826,0
1574460512.798,0.718,0.207,0.822,0
1574460512.817,0.698,0.206,0.823,0
1574460512.837,0.696,0.208,0.799,0
1574460512.857,0.715,0.213,0.797,0
1574460512.876,0.732,0.212,0.753,0
1574460512.896,0.724,0.199,0.708,0
1574460512.916,0.733,0.192,0.652,0
1574460512.935,0.737,0.179,0.613,0
1574460512.955,0.721,0.156,0.601,0
1574460512.975,0.699,0.139,0.599,0
1574460512.995,0.699,0.116,0.602,0
1574460513.014,0.693,0.059,0.629,0
1574460513.034,0.679,-0.009,0.647,0
1574460513.054,0.672,-0.055,0.657,0
1574460513.073,0.698,-0.088,0.655,0
1574460513.093,0.744,-0.125,0.651,0
1574460513.113,0.757,-0.167,0.702,0
1574460513.133,0.737,-0.192,0.672,0
1574460513.152,0.745,-0.186,0.659,0
1574460513.172,0.779,-0.161,0.668,0
1574460513.192,0.788,-0.134,0.682,0
1574460513.211,0.779,-0.122,0.752,0
1574460513.231,0.725,-0.117,0.813,0
1574460513.251,0.681,-0.100,0.805,0
1574460513.271,0.637,-0.063,0.784,0
1574460513.290,0.613,-0.017,0.832,0
1574460513.310,0.580,0.027,0.864,0
1574460513.330,0.541,0.067,0.853,0
1574460513.349,0.516,0.095,0.863,0
1574460513.369,0.491,0.117,0.833,0
1574460513.389,0.478,0.129,0.833,0
1574460513.408,0.472,0.129,0.843,0
1574460513.428,0.460,0.122,0.832,0
1574460513.448,0.445,0.099,0.847,0
1574460513.468,0.448,0.079,0.846,0
1574460513.487,0.458,0.060,0.852,0
1574460513.507,0.483,0.043,0.825,0
1574460513.527,0.476,0.024,0.789,0
1574460513.546,0.491,0.007,0.768,0
1574460513.566,0.508,-0.027,0.846,0
1574460513.586,0.510,-0.058,0.893,0
1574460513.606,0.504,-0.070,0.886,0
1574460513.625,0.515,-0.078,0.876,0
1574460513.645,0.514,-0.090,0.853,0
1574460513.665,0.538,-0.114,0.862,0
1574460513.684,0.565,-0.156,0.858,0
1574460513.704,0.570,-0.179,0.790,0
1574460513.724,0.570,-0.185,0.718,0
1574460513.743,0.585,-0.192,0.706,0
1574460513.763,0.599,-0.205,0.719,0
1574460513.783,0.630,-0.203,0.723,0
1574460513.803,0.634,-0.213,0.717,0
1574460513.822,0.623,-0.233,0.733,0
1574460513.842,0.616,-0.252,0.738,0
1574460513.862,0.627,-0.260,0.753,0
1574460513.881,0.639,-0.267,0.764,0
1574460513.901,0.643,-0.276,0.771,0
1574460513.921,0.642,-0.285,0.774,0
1574460513.941,0.649,-0.284,0.754,0
1574460513.960,0.648,-0.281,0.767,0
1574460513.980,0.643,-0.282,0.785,0
1574460514.000,0.638,-0.273,0.794,0
1574460514.019,0.620,-0.262,0.792,0
1574460514.039,0.600,-0.256,0.777,0
1574460514.059,0.586,-0.249,0.761,0
1574460514.079,0.581,-0.240,0.745,0
1574460514.098,0.567,-0.232,0.710,0
1574460514.118,0.566,-0.228,0.700,0
1574460514.138,0.574,-0.228,0.692,0
1574460514.157,0.573,-0.228,0.687,0
1574460514.177,0.590,-0.226,0.695,0
1574460514.197,0.619,-0.230,0.722,0
1574460514.216,0.649,-0.237,0.752,0
1574460514.236,0.676,-0.244,0.778,0
1574460514.256,0.694,-0.249,0.790,0
1574460514.276,0.699,-0.252,0.785,0
1574460514.295,0.701,-0.247,0.774,0
1574460514.315,0.700,-0.233,0.759,0
1574460514.335,0.695,-0.221,0.741,0
1574460514.354,0.674,-0.216,0.732,0
1574460514.374,0.641,-0.218,0.721,0
1574460514.394,0.611,-0.221,0.721,0
1574460514.414,0.582,-0.220,0.715,0
1574460514.433,0.555,-0.219,0.720,0
1574460514.453,0.538,-0.216,0.727,0
1574460514.473,0.540,-0.215,0.729,0
1574460514.492,0.566,-0.203,0.734,0
1574460514.512,0.606,-0.190,0.737,0
1574460514.532,0.634,-0.182,0.745,0
1574460514.552,0.652,-0.179,0.746,0
1574460514.571,0.677,-0.174,0.757,0
1574460514.591,0.700,-0.166,0.747,0
1574460514.611,0.710,-0.163,0.744,0
1574460514.630,0.708,-0.163,0.746,0
1574460514.650,0.697,-0.170,0.755,0
1574460514.670,0.683,-0.178,0.758,0
1574460514.689,0.662,-0.183,0.739,0
1574460514.709,0.647,-0.189,0.745,0
1574460514.729,0.641,-0.187,0.741,0
1574460514.749,0.630,-0.180,0.736,0
1574460514.768,0.620,-0.173,0.735,0
1574460514.788,0.615,-0.166,0.738,0
1574460514.808,0.613,-0.159,0.743,0
1574460514.827,0.611,-0.156,0.746,0
1574460514.847,0.620,-0.154,0.748,0
1574460514.867,0.630,-0.152,0.751,0
1574460514.887,0.636,-0.153,0.746,0
1574460514.906,0.639,-0.157,0.752,0
1574460514.926,0.646,-0.160,0.750,0
1574460514.946,0.651,-0.161,0.740,0
1574460514.965,0.655,-0.161,0.737,0
1574460514.985,0.660,-0.161,0.741,0
1574460515.005,0.659,-0.163,0.731,0
1574460515.025,0.663,-0.164,0.737,0
1574460515.044,0.654,-0.171,0.738,0
1574460515.064,0.653,-0.177,0.740,0
1574460515.084,0.655,-0.180,0.742,0
1574460515.103,0.663,-0.179,0.742,0
1574460515.123,0.670,-0.176,0.727,0
1574460515.143,0.673,-0.173,0.722,0
1574460515.162,0.669,-0.172,0.718,0
1574460515.182,0.668,-0.176,0.720,0
1574460515.202,0.663,-0.176,0.724,0
1574460515.222,0.658,-0.178,0.721,0
1574460515.241,0.661,-0.181,0.732,0
1574460515.261,0.654,-0.185,0.734,0
1574460515.281,0.651,-0.191,0.743,0
1574460515.300,0.645,-0.194,0.738,0
1574460515.320,0.653,-0.189,0.732,0
1574460515.340,0.665,-0.185,0.727,0
1574460515.360,0.664,-0.187,0.731,0
1574460515.379,0.656,-0.194,0.736,0
1574460515.399,0.658,-0.190,0.737,0
1574460515.419,0.659,-0.179,0.736,0
1574460515.438,0.664,-0.172,0.739,0
1574460515.458,0.674,-0.170,0.750,0
1574460515.478,0.671,-0.174,0.758,0
1574460515.497,0.656,-0.175,0.752,0
1574460515.517,0.648,-0.178,0.743,0
1574460515.537,0.644,-0.174,0.729,0
1574460515.557,0.643,-0.174,0.740,0
1574460515.576,0.627,-0.191,0.752,0
1574460515.596,0.608,-0.194,0.733,0
1574460515.616,0.615,-0.195,0.730,0
1574460515.635,0.607,-0.198,0.741,0
1574460515.655,0.594,-0.196,0.745,0
1574460515.675,0.582,-0.194,0.753,0
1574460515.695,0.570,-0.193,0.750,0
1574460515.714,0.568,-0.190,0.755,0
1574460515.734,0.562,-0.190,0.777,0
1574460515.754,0.558,-0.186,0.773,0
1574460515.773,0.551,-0.189,0.748,0
1574460515.793,0.561,-0.193,0.787,0
1574460515.813,0.572,-0.205,0.776,0
1574460515.833,0.582,-0.209,0.763,0
1574460515.852,0.615,-0.205,0.787,0
1574460515.872,0.634,-0.202,0.786,0
1574460515.892,0.644,-0.194,0.805,0
1574460515.911,0.636,-0.178,0.763,0
1574460515.931,0.640,-0.171,0.772,0
1574460515.951,0.636,-0.173,0.788,0
1574460515.970,0.635,-0.171,0.791,0
1574460515.990,0.633,-0.170,0.784,0
1574460516.010,0.614,-0.174,0.781,0
1574460516.030,0.589,-0.185,0.789,0
1574460516.049,0.572,-0.191,0.789,0
1574460516.069,0.581,-0.186,0.787,0
1574460516.089,0.576,-0.183,0.773,0
1574460516.108,0.559,-0.187,0.755,0
1574460516.128,0.560,-0.189,0.764,0
1574460516.148,0.555,-0.196,0.788,0
1574460516.168,0.542,-0.210,0.792,0
1574460516.187,0.535,-0.219,0.789,0
1574460516.207,0.540,-0.223,0.787,0
1574460516.227,0.552,-0.221,0.783,0
1574460516.246,0.570,-0.221,0.789,0
1574460516.266,0.574,-0.219,0.780,0
1574460516.286,0.590,-0.213,0.753,0
1574460516.306,0.603,-0.213,0.757,0
1574460516.325,0.606,-0.218,0.772,0
1574460516.345,0.599,-0.218,0.772,0
1574460516.365,0.593,-0.218,0.781,0
1574460516.384,0.584,-0.219,0.779,0
1574460516.404,0.576,-0.221,0.769,0
1574460516.424,0.581,-0.222,0.775,0
1574460516.443,0.579,-0.225,0.778,0
1574460516.463,0.585,-0.225,0.777,0
1574460516.483,0.588,-0.224,0.770,0
