timestamps,X,Y,Z,Marker0
1563995662.732,0.065,0.047,0.986,0
1563995662.752,0.063,0.046,0.984,0
1563995662.772,0.064,0.046,0.986,0
1563995662.792,0.066,0.047,0.988,0
1563995662.811,0.066,0.047,0.985,0
1563995662.831,0.065,0.046,0.984,0
1563995662.851,0.065,0.047,0.983,0
1563995662.870,0.066,0.047,0.985,0
1563995662.890,0.065,0.046,0.986,0
1563995662.910,0.065,0.046,0.987,0
1563995662.930,0.066,0.045,0.985,0
1563995662.949,0.066,0.045,0.984,0
1563995662.969,0.065,0.045,0.983,0
1563995662.989,0.067,0.046,0.984,0
1563995663.008,0.069,0.047,0.985,0
1563995663.028,0.069,0.049,0.988,0
1563995663.048,0.069,0.049,0.986,0
1563995663.067,0.068,0.047,0.985,0
1563995663.087,0.066,0.046,0.985,0
1563995663.107,0.066,0.045,0.983,0
1563995663.127,0.067,0.045,0.986,0
1563995663.146,0.068,0.047,0.982,0
1563995663.166,0.070,0.047,0.988,0
1563995663.186,0.071,0.048,0.989,0
1563995663.205,0.073,0.051,0.987,0
1563995663.225,0.073,0.051,0.985,0
1563995663.245,0.071,0.047,0.982,0
1563995663.265,0.067,0.043,0.981,0
1563995663.284,0.066,0.042,0.984,0
1563995663.304,0.067,0.044,0.984,0
1563995663.324,0.069,0.046,0.984,0
1563995663.343,0.072,0.044,0.990,0
1563995663.363,0.075,0.045,0.990,0
1563995663.383,0.074,0.044,0.985,0
1563995663.402,0.073,0.044,0.982,0
1563995663.422,0.069,0.042,0.980,0
1563995663.442,0.071,0.043,0.984,0
1563995663.462,0.070,0.044,0.988,0
1563995663.481,0.069,0.043,0.988,0
1563995663.501,0.063,0.040,0.991,0
1563995663.521,0.058,0.037,0.989,0
1563995663.540,0.051,0.038,0.976,0
1563995663.560,0.051,0.043,0.975,0
1563995663.580,0.056,0.048,0.982,0
1563995663.600,0.058,0.052,0.982,0
1563995663.619,0.056,0.055,0.978,0
1563995663.639,0.051,0.058,0.978,0
1563995663.659,0.044,0.056,0.985,0
1563995663.678,0.038,0.057,0.997,0
1563995663.698,0.040,0.060,1.012,0
1563995663.718,0.044,0.063,1.032,0
1563995663.737,0.025,0.059,1.009,0
1563995663.757,0.015,0.057,0.995,0
1563995663.777,0.016,0.059,0.996,0
1563995663.797,0.021,0.060,1.003,0
1563995663.816,0.016,0.057,0.979,0
1563995663.836,0.017,0.054,0.930,0
1563995663.856,0.032,0.057,0.904,0
1563995663.875,0.030,0.069,0.865,0
1563995663.895,0.026,0.080,0.840,0
1563995663.915,0.045,0.087,0.899,0
1563995663.935,0.048,0.078,0.975,0
1563995663.954,0.023,0.070,1.005,0
1563995663.974,-0.003,0.059,1.036,0
1563995663.994,-0.014,0.068,1.081,0
1563995664.013,-0.033,0.077,1.085,0
1563995664.033,-0.056,0.082,1.092,0
1563995664.053,-0.076,0.090,1.096,0
1563995664.073,-0.114,0.087,1.051,0
1563995664.092,-0.118,0.088,1.062,0
1563995664.112,-0.116,0.085,1.053,0
1563995664.132,-0.110,0.085,0.998,0
1563995664.151,-0.094,0.086,0.922,0
1563995664.171,-0.083,0.082,0.855,0
1563995664.191,-0.070,0.074,0.827,0
1563995664.210,-0.042,0.068,0.881,0
1563995664.230,-0.021,0.064,0.938,0
1563995664.250,-0.008,0.054,0.998,0
1563995664.270,-0.006,0.047,1.045,0
1563995664.289,-0.010,0.049,1.061,0
1563995664.309,-0.019,0.057,1.063,0
1563995664.329,-0.036,0.063,1.038,0
1563995664.348,-0.057,0.069,0.993,0
1563995664.368,-0.068,0.083,0.928,0
1563995664.388,-0.055,0.092,0.903,0
1563995664.408,-0.031,0.091,0.947,0
1563995664.427,-0.012,0.087,0.996,0
1563995664.447,-0.005,0.082,1.013,0
1563995664.467,-0.004,0.081,1.023,0
1563995664.486,-0.013,0.072,1.025,0
1563995664.506,-0.033,0.070,0.998,0
1563995664.526,-0.051,0.069,0.943,0
1563995664.545,-0.042,0.069,0.940,0
1563995664.565,-0.033,0.068,0.970,0
1563995664.585,-0.022,0.067,0.993,0
1563995664.605,-0.014,0.068,1.005,0
1563995664.624,-0.013,0.067,1.006,0
1563995664.644,-0.011,0.066,1.006,0
1563995664.664,-0.013,0.064,0.994,0
1563995664.683,-0.014,0.060,0.974,0
1563995664.703,-0.010,0.056,0.975,0
1563995664.723,-0.005,0.054,0.982,0
1563995664.743,0.000,0.052,0.988,0
1563995664.762,0.004,0.053,0.994,0
1563995664.782,0.007,0.054,0.991,0
1563995664.802,0.008,0.055,0.984,0
1563995664.821,0.016,0.056,0.984,0
1563995664.841,0.022,0.055,0.987,0
1563995664.861,0.030,0.054,0.990,0
1563995664.880,0.035,0.055,0.984,0
1563995664.900,0.040,0.056,0.981,0
1563995664.920,0.043,0.057,0.981,0
1563995664.940,0.050,0.058,0.980,0
1563995664.959,0.056,0.059,0.983,0
1563995664.979,0.062,0.059,0.984,0
1563995664.999,0.064,0.060,0.980,0
1563995665.018,0.064,0.059,0.981,0
1563995665.038,0.065,0.058,0.981,0
1563995665.058,0.065,0.056,0.981,0
1563995665.078,0.064,0.054,0.983,0
1563995665.097,0.066,0.053,0.984,0
1563995665.117,0.066,0.052,0.984,0
1563995665.137,0.067,0.051,0.983,0
1563995665.156,0.068,0.050,0.982,0
1563995665.176,0.068,0.049,0.981,0
1563995665.196,0.070,0.051,0.984,0
1563995665.215,0.076,0.052,0.986,0
1563995665.235,0.076,0.052,0.992,0
1563995665.255,0.076,0.052,0.982,0
1563995665.275,0.074,0.052,0.977,0
1563995665.294,0.071,0.051,0.976,0
1563995665.314,0.073,0.051,0.984,0
1563995665.334,0.073,0.051,0.987,0
1563995665.353,0.072,0.054,0.981,0
1563995665.373,0.069,0.056,0.982,0
1563995665.393,0.069,0.059,0.985,0
1563995665.413,0.066,0.060,0.987,0
1563995665.432,0.065,0.061,0.986,0
1563995665.452,0.061,0.058,0.982,0
1563995665.472,0.053,0.057,0.982,0
1563995665.491,0.049,0.058,0.983,0
1563995665.511,0.049,0.064,0.982,0
1563995665.531,0.047,0.064,0.987,0
1563995665.550,0.043,0.063,0.988,0
1563995665.570,0.041,0.062,0.990,0
1563995665.590,0.040,0.062,0.986,0
1563995665.610,0.034,0.062,0.985,0
1563995665.629,0.029,0.062,0.985,0
1563995665.649,0.026,0.061,0.985,0
1563995665.669,0.023,0.060,0.986,0
1563995665.688,0.023,0.063,0.987,0
1563995665.708,0.022,0.065,0.991,0
1563995665.728,0.023,0.068,0.993,0
1563995665.748,0.021,0.068,0.991,0
1563995665.767,0.020,0.070,0.989,0
1563995665.787,0.019,0.070,0.986,0
1563995665.807,0.019,0.071,0.985,0
1563995665.826,0.018,0.070,0.988,0
1563995665.846,0.020,0.069,0.990,0
1563995665.866,0.019,0.070,0.989,0
1563995665.886,0.019,0.069,0.986,0
1563995665.905,0.022,0.069,0.986,0
1563995665.925,0.026,0.068,0.990,0
1563995665.945,0.028,0.067,0.989,0
1563995665.964,0.029,0.065,0.985,0
1563995665.984,0.031,0.064,0.981,0
1563995666.004,0.036,0.063,0.987,0
1563995666.023,0.039,0.062,0.979,0
1563995666.043,0.040,0.064,0.973,0
1563995666.063,0.043,0.064,0.975,0
1563995666.083,0.057,0.071,0.972,0
1563995666.102,0.063,0.080,0.964,0
1563995666.122,0.086,0.103,0.943,0
1563995666.142,0.093,0.109,0.944,0
1563995666.161,0.079,0.103,0.953,0
1563995666.181,0.045,0.111,0.913,0
1563995666.201,0.031,0.126,0.906,0
1563995666.221,0.025,0.126,0.963,0
1563995666.240,-0.038,0.099,0.984,0
1563995666.260,-0.094,0.090,0.959,0
1563995666.280,-0.117,0.084,0.986,0
1563995666.299,-0.164,0.068,1.010,0
1563995666.319,-0.220,0.056,0.997,0
1563995666.339,-0.266,0.046,0.975,0
1563995666.358,-0.301,0.045,0.970,0
1563995666.378,-0.330,0.041,0.969,0
1563995666.398,-0.352,0.044,0.968,0
1563995666.418,-0.362,0.046,0.969,0
1563995666.437,-0.369,0.053,0.963,0
1563995666.457,-0.374,0.054,0.961,0
1563995666.477,-0.377,0.052,0.968,0
1563995666.496,-0.377,0.051,0.968,0
1563995666.516,-0.364,0.053,0.973,0
1563995666.536,-0.354,0.052,0.981,0
1563995666.556,-0.353,0.050,0.951,0
1563995666.575,-0.343,0.055,0.910,0
1563995666.595,-0.320,0.058,0.917,0
1563995666.615,-0.287,0.063,0.934,0
1563995666.634,-0.258,0.067,0.953,0
1563995666.654,-0.238,0.066,0.955,0
1563995666.674,-0.223,0.066,0.953,0
1563995666.693,-0.198,0.075,0.947,0
1563995666.713,-0.168,0.088,0.952,0
1563995666.733,-0.142,0.091,0.970,0
1563995666.753,-0.120,0.096,0.985,0
1563995666.772,-0.107,0.098,0.980,0
1563995666.792,-0.098,0.097,0.972,0
1563995666.812,-0.084,0.098,0.966,0
1563995666.831,-0.067,0.101,0.971,0
1563995666.851,-0.052,0.102,0.980,0
1563995666.871,-0.043,0.110,0.986,0
1563995666.891,-0.032,0.107,0.979,0
1563995666.910,-0.020,0.103,0.974,0
1563995666.930,-0.008,0.107,0.973,0
1563995666.950,0.004,0.110,0.973,0
1563995666.969,0.014,0.108,0.986,0
1563995666.989,0.017,0.105,0.992,0
1563995667.009,0.024,0.105,0.999,0
1563995667.028,0.019,0.095,0.979,0
1563995667.048,0.020,0.091,0.983,0
1563995667.068,0.030,0.083,0.969,0
1563995667.088,0.033,0.084,0.961,0
1563995667.107,0.033,0.079,0.970,0
1563995667.127,0.034,0.074,0.984,0
1563995667.147,0.029,0.069,0.979,0
1563995667.166,0.031,0.067,0.981,0
1563995667.186,0.036,0.065,0.986,0
1563995667.206,0.035,0.065,0.975,0
1563995667.226,0.036,0.067,0.971,0
1563995667.245,0.034,0.068,0.978,0
1563995667.265,0.028,0.068,0.986,0
1563995667.285,0.024,0.067,0.991,0
1563995667.304,0.020,0.067,0.990,0
1563995667.324,0.018,0.068,0.987,0
1563995667.344,0.015,0.070,0.984,0
1563995667.363,0.012,0.072,0.979,0
1563995667.383,0.012,0.071,0.983,0
1563995667.403,0.010,0.069,0.988,0
1563995667.423,0.010,0.070,0.991,0
1563995667.442,0.009,0.068,0.993,0
1563995667.462,0.008,0.065,0.988,0
1563995667.482,0.006,0.065,0.980,0
1563995667.501,0.008,0.063,0.982,0
1563995667.521,0.013,0.064,0.991,0
1563995667.541,0.015,0.063,0.990,0
1563995667.561,0.018,0.064,0.992,0
1563995667.580,0.015,0.060,0.990,0
1563995667.600,0.019,0.061,0.985,0
1563995667.620,0.021,0.059,0.981,0
1563995667.639,0.024,0.059,0.986,0
1563995667.659,0.027,0.059,0.987,0
1563995667.679,0.027,0.059,0.986,0
1563995667.698,0.030,0.061,0.985,0
1563995667.718,0.029,0.060,0.984,0
1563995667.738,0.032,0.058,0.990,0
1563995667.758,0.030,0.057,0.986,0
1563995667.777,0.032,0.057,0.988,0
1563995667.797,0.032,0.056,0.985,0
1563995667.817,0.036,0.055,0.986,0
1563995667.836,0.036,0.055,0.983,0
1563995667.856,0.036,0.055,0.982,0
1563995667.876,0.036,0.055,0.984,0
1563995667.896,0.037,0.057,0.984,0
1563995667.915,0.039,0.055,0.990,0
1563995667.935,0.040,0.056,0.986,0
1563995667.955,0.040,0.054,0.986,0
1563995667.974,0.038,0.054,0.983,0
1563995667.994,0.037,0.053,0.982,0
1563995668.014,0.039,0.052,0.983,0
1563995668.034,0.041,0.055,0.983,0
1563995668.053,0.041,0.057,0.984,0
1563995668.073,0.044,0.056,0.987,0
1563995668.093,0.043,0.056,0.987,0
1563995668.112,0.042,0.057,0.985,0
1563995668.132,0.041,0.056,0.982,0
1563995668.152,0.039,0.055,0.986,0
1563995668.171,0.031,0.054,0.994,0
1563995668.191,0.030,0.057,0.986,0
1563995668.211,0.041,0.066,0.983,0
1563995668.231,0.036,0.062,0.987,0
1563995668.250,0.032,0.062,1.003,0
1563995668.270,0.030,0.064,0.987,0
1563995668.290,0.030,0.063,0.979,0
1563995668.309,0.027,0.062,0.986,0
1563995668.329,0.022,0.059,0.986,0
1563995668.349,0.026,0.061,0.984,0
1563995668.369,0.029,0.062,0.981,0
1563995668.388,0.035,0.060,0.988,0
1563995668.408,0.037,0.056,0.990,0
1563995668.428,0.038,0.052,0.989,0
1563995668.447,0.039,0.053,0.989,0
1563995668.467,0.042,0.051,0.984,0
1563995668.487,0.039,0.046,0.986,0
1563995668.506,0.032,0.041,0.980,0
1563995668.526,0.032,0.043,0.978,0
1563995668.546,0.032,0.042,0.980,0
1563995668.566,0.034,0.045,0.982,0
1563995668.585,0.034,0.046,0.984,0
1563995668.605,0.027,0.044,0.986,0
1563995668.625,0.018,0.040,0.987,0
1563995668.644,0.011,0.039,0.984,0
1563995668.664,0.015,0.046,0.979,0
1563995668.684,0.018,0.050,0.982,0
1563995668.704,0.020,0.052,0.992,0
1563995668.723,0.014,0.051,0.993,0
1563995668.743,0.015,0.052,0.986,0
1563995668.763,0.015,0.056,0.979,0
1563995668.782,0.015,0.059,0.983,0
1563995668.802,0.009,0.059,0.989,0
1563995668.822,0.002,0.058,0.987,0
1563995668.841,0.002,0.064,0.983,0
1563995668.861,0.003,0.065,0.987,0
1563995668.881,0.000,0.064,0.993,0
1563995668.901,-0.002,0.068,0.982,0
1563995668.920,0.004,0.072,0.979,0
1563995668.940,0.004,0.072,0.986,0
1563995668.960,-0.002,0.070,0.994,0
1563995668.979,-0.002,0.071,0.984,0
1563995668.999,-0.000,0.075,0.980,0
1563995669.019,0.007,0.082,0.988,0
1563995669.039,0.009,0.086,0.987,0
1563995669.058,0.011,0.091,0.982,0
1563995669.078,-0.001,0.088,0.978,0
1563995669.098,-0.013,0.081,0.985,0
1563995669.117,-0.019,0.083,0.978,0
1563995669.137,-0.023,0.084,0.972,0
1563995669.157,-0.032,0.082,0.970,0
1563995669.176,-0.043,0.093,0.944,0
1563995669.196,-0.032,0.113,0.932,0
1563995669.216,-0.041,0.114,0.945,0
1563995669.236,-0.078,0.104,0.940,0
1563995669.255,-0.117,0.094,0.923,0
1563995669.275,-0.137,0.084,0.966,0
1563995669.295,-0.171,0.066,0.991,0
1563995669.314,-0.208,0.053,0.990,0
1563995669.334,-0.243,0.037,0.986,0
1563995669.354,-0.271,0.023,0.991,0
1563995669.374,-0.302,0.015,0.973,0
1563995669.393,-0.314,0.016,0.957,0
1563995669.413,-0.326,0.017,0.956,0
1563995669.433,-0.334,0.022,0.955,0
1563995669.452,-0.345,0.023,0.950,0
1563995669.472,-0.343,0.032,0.940,0
1563995669.492,-0.338,0.042,0.934,0
1563995669.511,-0.334,0.051,0.926,0
1563995669.531,-0.332,0.055,0.930,0
1563995669.551,-0.333,0.056,0.935,0
1563995669.571,-0.330,0.059,0.933,0
1563995669.590,-0.336,0.059,0.925,0
1563995669.610,-0.339,0.060,0.930,0
1563995669.630,-0.336,0.065,0.936,0
1563995669.649,-0.331,0.070,0.937,0
1563995669.669,-0.327,0.075,0.927,0
1563995669.689,-0.331,0.072,0.933,0
1563995669.709,-0.335,0.067,0.934,0
1563995669.728,-0.340,0.061,0.932,0
1563995669.748,-0.342,0.058,0.927,0
1563995669.768,-0.345,0.054,0.925,0
1563995669.787,-0.341,0.058,0.918,0
1563995669.807,-0.331,0.065,0.918,0
1563995669.827,-0.325,0.063,0.931,0
1563995669.847,-0.329,0.057,0.940,0
1563995669.866,-0.330,0.055,0.932,0
1563995669.886,-0.327,0.057,0.921,0
1563995669.906,-0.320,0.057,0.919,0
1563995669.925,-0.315,0.055,0.936,0
1563995669.945,-0.315,0.053,0.935,0
1563995669.965,-0.312,0.057,0.934,0
1563995669.984,-0.310,0.056,0.932,0
1563995670.004,-0.310,0.052,0.937,0
1563995670.024,-0.309,0.051,0.940,0
1563995670.044,-0.308,0.054,0.934,0
1563995670.063,-0.314,0.054,0.924,0
1563995670.083,-0.311,0.058,0.925,0
1563995670.103,-0.306,0.062,0.934,0
