timestamps,X,Y,Z,Marker0
1566844445.124,-0.766,0.085,0.619,0
1566844445.144,-0.768,0.085,0.617,0
1566844445.164,-0.768,0.085,0.616,0
1566844445.184,-0.766,0.086,0.616,0
1566844445.203,-0.765,0.086,0.618,0
1566844445.223,-0.763,0.084,0.617,0
1566844445.243,-0.761,0.084,0.616,0
1566844445.262,-0.760,0.083,0.617,0
1566844445.282,-0.763,0.084,0.616,0
1566844445.302,-0.765,0.084,0.617,0
1566844445.322,-0.767,0.083,0.618,0
1566844445.341,-0.768,0.083,0.617,0
1566844445.361,-0.765,0.084,0.616,0
1566844445.381,-0.762,0.082,0.613,0
1566844445.400,-0.763,0.084,0.615,0
1566844445.420,-0.764,0.086,0.617,0
1566844445.440,-0.763,0.086,0.617,0
1566844445.459,-0.766,0.085,0.616,0
1566844445.479,-0.767,0.085,0.616,0
1566844445.499,-0.768,0.083,0.616,0
1566844445.519,-0.767,0.083,0.614,0
1566844445.538,-0.766,0.083,0.614,0
1566844445.558,-0.765,0.082,0.615,0
1566844445.578,-0.763,0.082,0.615,0
1566844445.597,-0.762,0.083,0.615,0
1566844445.617,-0.763,0.085,0.615,0
1566844445.637,-0.766,0.085,0.617,0
1566844445.657,-0.767,0.086,0.617,0
1566844445.676,-0.768,0.086,0.616,0
1566844445.696,-0.770,0.084,0.616,0
1566844445.716,-0.766,0.085,0.616,0
1566844445.735,-0.764,0.084,0.615,0
1566844445.755,-0.766,0.082,0.619,0
1566844445.775,-0.763,0.081,0.616,0
1566844445.794,-0.759,0.083,0.611,0
1566844445.814,-0.760,0.084,0.614,0
1566844445.834,-0.766,0.085,0.618,0
1566844445.854,-0.768,0.087,0.617,0
1566844445.873,-0.770,0.087,0.616,0
1566844445.893,-0.768,0.086,0.616,0
1566844445.913,-0.767,0.085,0.615,0
1566844445.932,-0.766,0.082,0.616,0
1566844445.952,-0.763,0.080,0.615,0
1566844445.972,-0.761,0.081,0.615,0
1566844445.992,-0.761,0.084,0.616,0
1566844446.011,-0.762,0.085,0.615,0
1566844446.031,-0.765,0.087,0.616,0
1566844446.051,-0.768,0.087,0.617,0
1566844446.070,-0.768,0.086,0.616,0
1566844446.090,-0.767,0.087,0.615,0
1566844446.110,-0.764,0.087,0.615,0
1566844446.129,-0.763,0.087,0.615,0
1566844446.149,-0.763,0.086,0.616,0
1566844446.169,-0.763,0.086,0.618,0
1566844446.189,-0.763,0.086,0.617,0
1566844446.208,-0.765,0.085,0.617,0
1566844446.228,-0.766,0.084,0.614,0
1566844446.248,-0.767,0.083,0.616,0
1566844446.267,-0.765,0.082,0.616,0
1566844446.287,-0.765,0.084,0.616,0
1566844446.307,-0.763,0.084,0.618,0
1566844446.327,-0.762,0.086,0.617,0
1566844446.346,-0.763,0.085,0.616,0
1566844446.366,-0.762,0.086,0.617,0
1566844446.386,-0.765,0.085,0.617,0
1566844446.405,-0.768,0.084,0.616,0
1566844446.425,-0.765,0.086,0.613,0
1566844446.445,-0.765,0.088,0.614,0
1566844446.464,-0.764,0.089,0.616,0
1566844446.484,-0.766,0.090,0.619,0
1566844446.504,-0.766,0.090,0.617,0
1566844446.524,-0.765,0.087,0.617,0
1566844446.543,-0.767,0.087,0.617,0
1566844446.563,-0.767,0.084,0.616,0
1566844446.583,-0.765,0.083,0.616,0
1566844446.602,-0.762,0.083,0.615,0
1566844446.622,-0.760,0.084,0.616,0
1566844446.642,-0.761,0.085,0.617,0
1566844446.662,-0.765,0.085,0.619,0
1566844446.681,-0.765,0.085,0.617,0
1566844446.701,-0.765,0.087,0.616,0
1566844446.721,-0.765,0.088,0.614,0
1566844446.740,-0.765,0.089,0.615,0
1566844446.760,-0.767,0.088,0.617,0
1566844446.780,-0.765,0.088,0.618,0
1566844446.799,-0.764,0.085,0.616,0
1566844446.819,-0.763,0.085,0.617,0
1566844446.839,-0.763,0.083,0.617,0
1566844446.859,-0.762,0.082,0.618,0
1566844446.878,-0.763,0.083,0.616,0
1566844446.898,-0.762,0.084,0.618,0
1566844446.918,-0.764,0.084,0.617,0
1566844446.937,-0.763,0.085,0.616,0
1566844446.957,-0.765,0.086,0.617,0
1566844446.977,-0.765,0.087,0.616,0
