timestamps,X,Y,Z,Marker0
1569339875.218,-0.429,0.530,0.736,0
1569339875.238,-0.432,0.528,0.737,0
1569339875.257,-0.430,0.528,0.738,0
1569339875.277,-0.428,0.526,0.737,0
1569339875.297,-0.429,0.528,0.737,0
1569339875.316,-0.430,0.532,0.738,0
1569339875.336,-0.429,0.531,0.736,0
1569339875.356,-0.428,0.531,0.734,0
1569339875.376,-0.430,0.532,0.733,0
1569339875.395,-0.430,0.532,0.737,0
1569339875.415,-0.429,0.530,0.736,0
1569339875.435,-0.430,0.530,0.737,0
1569339875.454,-0.428,0.530,0.737,0
1569339875.474,-0.428,0.528,0.736,0
1569339875.494,-0.427,0.527,0.737,0
1569339875.513,-0.428,0.528,0.737,0
1569339875.533,-0.428,0.529,0.738,0
1569339875.553,-0.427,0.527,0.737,0
1569339875.573,-0.428,0.529,0.736,0
1569339875.592,-0.430,0.531,0.736,0
1569339875.612,-0.432,0.532,0.736,0
1569339875.632,-0.430,0.531,0.736,0
1569339875.651,-0.427,0.530,0.737,0
1569339875.671,-0.428,0.528,0.735,0
1569339875.691,-0.428,0.528,0.735,0
1569339875.711,-0.430,0.529,0.737,0
1569339875.730,-0.428,0.530,0.738,0
1569339875.750,-0.427,0.530,0.738,0
1569339875.770,-0.427,0.532,0.736,0
1569339875.789,-0.428,0.533,0.735,0
1569339875.809,-0.428,0.532,0.736,0
1569339875.829,-0.430,0.533,0.735,0
1569339875.849,-0.428,0.530,0.735,0
1569339875.868,-0.428,0.527,0.737,0
1569339875.888,-0.428,0.525,0.738,0
1569339875.908,-0.431,0.526,0.736,0
1569339875.927,-0.432,0.529,0.735,0
1569339875.947,-0.433,0.531,0.736,0
1569339875.967,-0.434,0.531,0.734,0
1569339875.986,-0.433,0.532,0.735,0
1569339876.006,-0.431,0.531,0.734,0
1569339876.026,-0.428,0.528,0.736,0
1569339876.046,-0.427,0.527,0.735,0
1569339876.065,-0.429,0.530,0.737,0
1569339876.085,-0.428,0.531,0.737,0
1569339876.105,-0.429,0.529,0.737,0
1569339876.124,-0.431,0.530,0.737,0
1569339876.144,-0.430,0.530,0.738,0
1569339876.164,-0.429,0.528,0.739,0
1569339876.184,-0.427,0.525,0.736,0
1569339876.203,-0.427,0.527,0.735,0
1569339876.223,-0.432,0.530,0.735,0
1569339876.243,-0.432,0.531,0.737,0
1569339876.262,-0.431,0.530,0.735,0
1569339876.282,-0.431,0.530,0.735,0
1569339876.302,-0.431,0.531,0.737,0
1569339876.322,-0.429,0.530,0.737,0
1569339876.341,-0.427,0.528,0.734,0
1569339876.361,-0.427,0.528,0.733,0
1569339876.381,-0.427,0.529,0.734,0
1569339876.400,-0.429,0.530,0.734,0
1569339876.420,-0.430,0.531,0.736,0
1569339876.440,-0.430,0.532,0.736,0
1569339876.459,-0.431,0.533,0.737,0
1569339876.479,-0.429,0.532,0.737,0
1569339876.499,-0.429,0.531,0.738,0
1569339876.519,-0.429,0.529,0.738,0
1569339876.538,-0.428,0.528,0.738,0
1569339876.558,-0.428,0.526,0.737,0
1569339876.578,-0.428,0.525,0.737,0
1569339876.597,-0.429,0.524,0.736,0
1569339876.617,-0.431,0.526,0.735,0
1569339876.637,-0.434,0.530,0.735,0
1569339876.657,-0.434,0.530,0.734,0
1569339876.676,-0.432,0.532,0.734,0
1569339876.696,-0.431,0.532,0.735,0
1569339876.716,-0.429,0.534,0.734,0
1569339876.735,-0.429,0.534,0.736,0
1569339876.755,-0.427,0.533,0.737,0
1569339876.775,-0.427,0.530,0.737,0
1569339876.795,-0.426,0.529,0.739,0
1569339876.814,-0.428,0.527,0.739,0
1569339876.834,-0.429,0.525,0.738,0
1569339876.854,-0.430,0.525,0.735,0
1569339876.873,-0.431,0.526,0.735,0
1569339876.893,-0.432,0.527,0.736,0
1569339876.913,-0.432,0.531,0.735,0
1569339876.932,-0.431,0.533,0.736,0
1569339876.952,-0.431,0.533,0.737,0
1569339876.972,-0.431,0.534,0.734,0
1569339876.992,-0.431,0.532,0.736,0
1569339877.011,-0.430,0.531,0.736,0
1569339877.031,-0.429,0.526,0.736,0
1569339877.051,-0.427,0.524,0.737,0
1569339877.070,-0.428,0.523,0.738,0
1569339877.090,-0.429,0.525,0.739,0
1569339877.110,-0.430,0.525,0.737,0
1569339877.130,-0.430,0.527,0.736,0
1569339877.149,-0.431,0.532,0.736,0
1569339877.169,-0.431,0.532,0.737,0
1569339877.189,-0.429,0.532,0.736,1
1569339877.208,-0.429,0.532,0.736,0
1569339877.228,-0.431,0.533,0.735,0
1569339877.248,-0.432,0.532,0.737,0
1569339877.268,-0.430,0.529,0.737,0
1569339877.287,-0.430,0.529,0.735,0
1569339877.307,-0.431,0.530,0.735,0
1569339877.327,-0.432,0.529,0.734,0
1569339877.346,-0.430,0.527,0.735,0
1569339877.366,-0.431,0.526,0.737,0
1569339877.386,-0.429,0.526,0.738,0
1569339877.405,-0.426,0.527,0.737,0
1569339877.425,-0.426,0.528,0.738,0
1569339877.445,-0.427,0.530,0.737,0
1569339877.465,-0.429,0.532,0.737,0
1569339877.484,-0.431,0.531,0.737,0
1569339877.504,-0.430,0.530,0.736,0
1569339877.524,-0.430,0.530,0.735,0
1569339877.543,-0.429,0.528,0.734,0
1569339877.563,-0.430,0.529,0.736,0
1569339877.583,-0.430,0.531,0.737,0
1569339877.603,-0.432,0.530,0.736,0
1569339877.622,-0.431,0.531,0.735,0
1569339877.642,-0.431,0.531,0.737,0
1569339877.662,-0.430,0.530,0.737,0
1569339877.681,-0.429,0.529,0.737,0
1569339877.701,-0.426,0.527,0.736,0
1569339877.721,-0.426,0.525,0.737,0
1569339877.740,-0.428,0.526,0.738,0
1569339877.760,-0.429,0.528,0.738,0
1569339877.780,-0.429,0.530,0.736,0
1569339877.800,-0.430,0.530,0.737,0
1569339877.819,-0.430,0.533,0.737,0
1569339877.839,-0.431,0.532,0.737,0
1569339877.859,-0.430,0.532,0.736,0
1569339877.878,-0.430,0.530,0.735,0
1569339877.898,-0.429,0.527,0.737,0
1569339877.918,-0.428,0.524,0.736,0
1569339877.938,-0.429,0.526,0.735,0
1569339877.957,-0.430,0.528,0.738,2
1569339877.977,-0.430,0.530,0.736,0
1569339877.997,-0.429,0.531,0.738,0
1569339878.016,-0.427,0.531,0.736,0
1569339878.036,-0.428,0.532,0.737,0
1569339878.056,-0.428,0.531,0.737,0
1569339878.076,-0.429,0.528,0.737,0
1569339878.095,-0.429,0.528,0.737,0
1569339878.115,-0.430,0.528,0.738,0
1569339878.135,-0.431,0.529,0.737,0
1569339878.154,-0.431,0.529,0.736,0
1569339878.174,-0.431,0.528,0.736,0
1569339878.194,-0.429,0.529,0.735,0
1569339878.213,-0.428,0.528,0.735,0
1569339878.233,-0.429,0.529,0.735,0
1569339878.253,-0.431,0.530,0.736,0
1569339878.273,-0.432,0.529,0.736,0
1569339878.292,-0.431,0.530,0.737,0
1569339878.312,-0.429,0.529,0.738,0
1569339878.332,-0.428,0.529,0.739,0
1569339878.351,-0.426,0.529,0.737,0
1569339878.371,-0.427,0.527,0.736,0
1569339878.391,-0.428,0.529,0.736,0
1569339878.411,-0.429,0.530,0.737,0
1569339878.430,-0.428,0.531,0.736,0
1569339878.450,-0.428,0.532,0.737,0
1569339878.470,-0.429,0.531,0.738,0
1569339878.489,-0.430,0.532,0.737,0
1569339878.509,-0.428,0.532,0.734,0
1569339878.529,-0.430,0.529,0.736,0
1569339878.549,-0.430,0.527,0.736,0
