timestamps,X,Y,Z,Marker0
1573162980.026,0.807,1.114,-0.860,0
1573162980.045,0.852,1.181,-1.054,0
1573162980.065,0.845,1.219,-1.136,0
1573162980.085,0.927,1.234,-1.383,0
1573162980.105,1.039,1.107,-1.465,0
1573162980.124,0.703,0.979,-1.615,0
1573162980.144,0.471,0.778,-1.839,0
1573162980.164,0.419,0.725,-2.011,0
1573162980.183,0.389,0.650,-2.153,0
1573162980.203,0.381,0.583,-2.094,0
1573162980.223,0.389,0.479,-2.161,0
1573162980.243,0.127,0.479,-2.108,0
1573162980.262,0.120,0.531,-2.086,0
1573162980.282,0.277,0.464,-2.094,0
1573162980.302,0.269,0.389,-2.011,0
1573162980.321,0.464,0.426,-2.004,0
1573162980.341,0.628,0.441,-1.929,0
1573162980.361,0.725,0.568,-1.839,0
1573162980.381,0.606,0.778,-1.712,0
1573162980.400,0.568,0.598,-1.637,0
1573162980.420,0.583,0.322,-1.533,0
1573162980.440,0.561,0.277,-1.622,0
1573162980.459,0.598,0.553,-1.892,0
1573162980.479,0.553,0.740,-2.041,0
1573162980.499,0.479,0.740,-2.049,0
1573162980.518,0.553,0.695,-2.198,0
1573162980.538,0.546,0.650,-2.265,0
1573162980.558,0.374,0.583,-2.273,0
1573162980.578,0.374,0.471,-2.228,0
1573162980.597,0.621,0.359,-2.131,0
1573162980.617,0.852,0.232,-2.056,0
1573162980.637,0.740,0.344,-1.922,0
1573162980.656,0.793,0.434,-1.817,0
1573162980.676,0.740,0.479,-1.690,0
1573162980.696,0.710,0.576,-1.622,0
1573162980.716,0.643,0.673,-1.682,0
1573162980.735,0.643,0.755,-1.652,0
1573162980.755,0.718,0.740,-1.548,0
1573162980.775,0.800,0.643,-1.540,0
1573162980.794,0.718,0.576,-1.548,0
1573162980.814,0.688,0.419,-1.570,0
1573162980.834,0.591,0.374,-1.533,0
1573162980.854,0.486,0.471,-1.443,0
1573162980.873,0.314,0.456,-1.465,0
1573162980.893,0.389,0.501,-1.652,0
1573162980.913,0.426,0.389,-1.794,0
1573162980.932,0.471,0.329,-1.892,0
1573162980.952,0.471,0.254,-2.011,0
1573162980.972,0.680,0.135,-2.079,0
1573162980.992,0.576,0.105,-2.094,0
1573162981.011,0.269,0.120,-2.056,0
1573162981.031,0.015,0.157,-2.041,0
1573162981.051,0.007,0.224,-1.959,0
1573162981.070,0.030,0.239,-1.929,0
1573162981.090,0.037,0.396,-1.914,0
1573162981.110,0.389,0.404,-1.974,0
1573162981.129,0.680,0.501,-1.966,0
1573162981.149,0.269,0.628,-1.809,0
1573162981.169,0.194,0.516,-1.757,0
1573162981.189,0.344,0.164,-1.854,0
1573162981.208,0.441,-0.067,-1.847,0
1573162981.228,0.419,-0.052,-2.041,0
1573162981.248,0.351,0.187,-2.123,0
1573162981.267,0.344,0.381,-2.131,0
1573162981.287,0.329,0.456,-2.161,0
1573162981.307,0.486,0.486,-2.273,0
1573162981.327,0.464,0.344,-2.258,0
1573162981.346,0.456,0.232,-2.123,0
1573162981.366,0.680,0.164,-2.049,0
1573162981.386,0.897,0.194,-1.989,0
1573162981.405,0.800,0.277,-1.959,0
1573162981.425,0.755,0.314,-1.899,0
1573162981.445,0.710,0.262,-1.854,0
1573162981.465,0.621,0.314,-1.966,0
1573162981.484,0.434,0.479,-1.877,0
1573162981.504,0.344,0.583,-1.936,0
1573162981.524,0.344,0.621,-1.907,0
1573162981.543,0.329,0.643,-2.108,0
1573162981.563,0.269,0.748,-2.198,0
1573162981.583,0.127,0.830,-2.333,0
1573162981.602,-0.060,0.912,-2.422,0
1573162981.622,0.075,1.002,-2.467,0
1573162981.642,0.202,0.965,-2.594,0
1573162981.662,0.067,0.830,-2.796,0
1573162981.681,0.000,0.793,-2.901,0
1573162981.701,-0.007,0.680,-3.163,0
1573162981.721,-0.112,0.673,-3.170,0
1573162981.740,-0.090,0.628,-3.088,0
1573162981.760,0.090,0.538,-3.043,0
1573162981.780,0.224,0.576,-2.886,0
1573162981.800,0.277,0.665,-2.751,0
1573162981.819,0.322,0.621,-2.684,0
1573162981.839,0.434,0.479,-2.535,0
1573162981.859,0.284,0.336,-2.512,0
1573162981.878,0.090,0.232,-2.460,0
1573162981.898,0.082,0.262,-2.333,0
1573162981.918,0.164,0.284,-2.221,0
1573162981.938,0.082,0.404,-2.004,0
1573162981.957,0.314,0.561,-1.824,0
1573162981.977,0.643,0.307,-1.712,0
1573162981.997,0.860,0.105,-1.742,0
1573162982.016,0.837,0.164,-1.892,0
1573162982.036,0.710,0.359,-2.041,0
1573162982.056,0.501,0.404,-2.303,0
1573162982.076,0.232,0.456,-2.400,0
1573162982.095,0.150,0.479,-2.512,0
1573162982.115,0.194,0.396,-2.512,0
1573162982.135,0.247,0.172,-2.348,0
1573162982.154,0.598,0.232,-2.325,0
1573162982.174,0.688,0.389,-2.408,0
1573162982.194,0.516,0.501,-2.310,0
1573162982.213,0.493,0.516,-2.273,0
1573162982.233,0.508,0.501,-2.168,0
1573162982.253,0.441,0.471,-2.056,0
1573162982.273,0.471,0.426,-2.019,0
1573162982.292,0.434,0.217,-1.884,0
1573162982.312,0.508,0.120,-1.914,0
1573162982.332,0.486,0.239,-1.907,0
1573162982.351,0.471,0.381,-1.907,0
1573162982.371,0.441,0.404,-1.974,0
1573162982.391,0.396,0.404,-1.996,0
1573162982.411,0.396,0.456,-2.213,0
1573162982.430,0.329,0.411,-2.363,0
1573162982.450,0.441,0.486,-2.422,0
1573162982.470,0.658,0.366,-2.452,0
1573162982.489,0.523,0.179,-2.355,0
1573162982.509,0.486,0.082,-2.236,0
1573162982.529,0.606,0.135,-2.243,0
1573162982.549,0.538,0.000,-2.108,0
1573162982.568,0.404,0.045,-2.161,0
1573162982.588,0.336,0.127,-2.101,0
1573162982.608,0.262,0.217,-2.094,0
1573162982.627,0.142,0.344,-2.064,0
1573162982.647,-0.090,0.523,-2.004,0
1573162982.667,0.067,0.426,-1.936,0
1573162982.686,0.643,0.479,-1.765,0
1573162982.706,0.957,0.419,-1.682,0
1573162982.726,0.822,0.292,-1.465,0
1573162982.746,0.972,-0.067,-1.376,0
1573162982.765,1.211,-0.307,-1.376,0
1573162982.785,0.987,-0.179,-1.443,0
1573162982.805,0.815,-0.112,-1.525,0
1573162982.824,0.621,0.172,-1.563,0
1573162982.844,0.606,0.307,-1.533,0
1573162982.864,0.531,0.254,-1.637,0
1573162982.884,0.591,0.194,-1.750,0
1573162982.903,0.673,0.239,-1.720,0
1573162982.923,0.860,0.209,-1.682,0
1573162982.943,0.740,0.232,-1.585,0
1573162982.962,0.740,0.262,-1.473,0
1573162982.982,0.972,0.105,-1.465,0
1573162983.002,1.062,-0.060,-1.458,0
1573162983.022,0.897,-0.060,-1.563,0
1573162983.041,0.598,0.067,-1.630,0
1573162983.061,0.561,0.247,-1.615,0
1573162983.081,0.770,0.209,-1.615,0
1573162983.100,0.860,0.172,-1.570,0
1573162983.120,0.665,0.142,-1.570,0
1573162983.140,0.613,0.037,-1.465,0
1573162983.160,0.710,0.045,-1.286,0
1573162983.179,0.897,0.045,-1.069,0
1573162983.199,1.129,0.135,-0.965,0
1573162983.219,1.024,0.366,-0.748,0
1573162983.238,0.830,0.501,-0.493,0
1573162983.258,0.800,0.493,-0.307,0
1573162983.278,0.927,0.501,-0.082,0
1573162983.297,1.107,0.449,0.030,0
1573162983.317,1.249,0.464,0.030,0
1573162983.337,1.406,0.493,-0.060,0
1573162983.357,1.174,0.583,-0.284,0
1573162983.376,1.039,0.568,-0.501,0
1573162983.396,0.785,0.591,-0.643,0
1573162983.416,0.493,0.665,-0.912,0
1573162983.435,0.381,0.673,-1.181,0
1573162983.455,0.636,0.852,-1.383,0
1573162983.475,0.538,0.867,-1.525,0
1573162983.495,0.351,0.636,-1.503,0
1573162983.514,0.396,0.277,-1.660,0
1573162983.534,0.486,0.179,-1.787,0
1573162983.554,0.591,0.329,-1.936,0
1573162983.573,0.486,0.531,-1.907,0
1573162983.593,0.419,0.643,-1.922,0
1573162983.613,0.434,0.650,-1.981,0
1573162983.633,0.381,0.658,-1.936,0
1573162983.652,0.329,0.546,-1.929,0
1573162983.672,0.426,0.479,-1.869,0
1573162983.692,0.643,0.426,-1.809,0
1573162983.711,0.748,0.441,-1.832,0
1573162983.731,0.733,0.419,-1.884,0
1573162983.751,0.755,0.396,-1.907,0
1573162983.770,0.793,0.396,-1.817,0
1573162983.790,0.695,0.374,-1.720,0
1573162983.810,0.636,0.516,-1.772,0
1573162983.830,0.778,0.636,-1.817,0
1573162983.849,0.950,0.516,-1.862,0
1573162983.869,0.935,0.351,-1.884,0
1573162983.889,0.800,0.232,-1.892,0
1573162983.908,0.822,0.217,-1.884,0
1573162983.928,0.852,0.277,-1.936,0
1573162983.948,1.181,0.493,-1.951,0
1573162983.968,1.421,0.688,-1.922,0
1573162983.987,1.518,0.845,-1.936,0
1573162984.007,1.465,0.987,-1.907,0
1573162984.027,1.473,0.905,-1.914,0
1573162984.046,1.383,0.830,-1.802,0
1573162984.066,0.965,0.479,-1.922,0
1573162984.086,0.374,0.217,-2.108,0
1573162984.106,-0.389,-0.135,-2.280,0
1573162984.125,-0.882,-0.621,-2.452,0
1573162984.145,-1.413,-1.264,-2.385,0
1573162984.165,-2.094,-2.034,-2.333,0
1573162984.184,-3.185,-3.708,-2.161,0
1573162984.204,-4.636,-6.707,-2.243,0
1573162984.224,-5.174,-8.486,-2.841,0
1573162984.243,-4.733,-7.955,-3.185,0
1573162984.263,-4.366,-7.372,-3.372,0
1573162984.283,-4.142,-6.916,-3.170,0
1573162984.303,-3.723,-4.927,-2.572,0
1573162984.322,-2.370,-3.148,-2.370,0
1573162984.342,-1.181,-1.510,-1.929,0
1573162984.362,0.479,-0.194,-1.593,0
1573162984.381,1.615,0.598,-1.211,0
