timestamps,X,Y,Z,Marker0
1570733930.841,0.053,0.034,0.993,0
1570733930.861,0.048,0.032,0.991,0
1570733930.880,0.048,0.032,0.986,0
1570733930.900,0.053,0.035,0.987,0
1570733930.920,0.054,0.036,0.994,0
1570733930.939,0.055,0.040,0.995,0
1570733930.959,0.059,0.043,0.993,0
1570733930.979,0.056,0.039,0.993,0
1570733930.999,0.054,0.038,0.992,0
1570733931.018,0.050,0.036,0.993,0
1570733931.038,0.048,0.036,0.992,0
1570733931.058,0.047,0.038,0.991,0
1570733931.077,0.052,0.038,0.992,0
1570733931.097,0.052,0.038,0.994,0
1570733931.117,0.050,0.038,0.990,0
1570733931.137,0.049,0.035,0.990,0
1570733931.156,0.050,0.035,0.991,0
1570733931.176,0.052,0.035,0.992,0
1570733931.196,0.056,0.037,0.991,0
1570733931.215,0.060,0.039,0.991,0
1570733931.235,0.059,0.040,0.992,0
1570733931.255,0.056,0.039,0.992,0
1570733931.274,0.053,0.036,0.993,0
1570733931.294,0.048,0.035,0.992,0
1570733931.314,0.049,0.036,0.990,0
1570733931.334,0.052,0.038,0.991,0
1570733931.353,0.056,0.041,0.992,0
1570733931.373,0.055,0.041,0.993,0
1570733931.393,0.053,0.040,0.993,0
1570733931.412,0.051,0.038,0.993,0
1570733931.432,0.048,0.035,0.991,0
1570733931.452,0.048,0.036,0.990,0
1570733931.472,0.050,0.036,0.992,0
1570733931.491,0.052,0.037,0.993,0
1570733931.511,0.053,0.037,0.991,0
1570733931.531,0.055,0.039,0.983,0
1570733931.550,0.056,0.038,0.985,0
1570733931.570,0.043,0.040,0.921,0
1570733931.590,0.052,0.031,0.912,0
1570733931.609,0.085,0.019,0.995,0
1570733931.629,0.069,0.034,1.006,0
1570733931.649,0.021,0.056,0.919,0
1570733931.669,0.003,0.039,0.934,0
1570733931.688,0.054,0.063,1.083,0
1570733931.708,0.000,0.060,1.048,0
1570733931.728,-0.034,0.073,1.044,0
1570733931.747,-0.056,0.079,1.030,0
1570733931.767,-0.082,0.080,1.037,0
1570733931.787,-0.103,0.081,1.033,0
1570733931.807,-0.125,0.078,1.016,0
1570733931.826,-0.130,0.080,1.005,0
1570733931.846,-0.124,0.079,0.996,0
1570733931.866,-0.116,0.078,0.990,0
1570733931.885,-0.102,0.076,0.980,0
1570733931.905,-0.080,0.073,0.978,0
1570733931.925,-0.051,0.073,0.995,0
1570733931.945,-0.019,0.063,0.998,0
1570733931.964,0.002,0.057,0.983,0
1570733931.984,0.021,0.047,0.963,0
1570733932.004,0.061,0.042,0.979,0
1570733932.023,0.087,0.037,0.990,0
1570733932.043,0.092,0.032,0.989,0
1570733932.063,0.088,0.030,0.982,0
1570733932.082,0.085,0.028,0.971,0
1570733932.102,0.091,0.027,0.974,0
1570733932.122,0.092,0.026,0.984,0
1570733932.142,0.084,0.028,0.986,0
1570733932.161,0.072,0.029,0.985,0
1570733932.181,0.063,0.034,0.986,0
1570733932.201,0.058,0.036,0.990,0
1570733932.220,0.050,0.037,0.994,0
1570733932.240,0.047,0.039,0.994,0
1570733932.260,0.043,0.039,0.994,0
1570733932.280,0.041,0.038,0.993,0
1570733932.299,0.041,0.038,0.992,0
1570733932.319,0.048,0.040,0.991,0
1570733932.339,0.048,0.040,0.999,0
1570733932.358,0.051,0.039,0.997,0
1570733932.378,0.047,0.035,0.990,0
1570733932.398,0.051,0.037,0.985,0
1570733932.417,0.056,0.038,0.985,0
1570733932.437,0.060,0.040,0.994,0
1570733932.457,0.060,0.040,0.998,0
1570733932.477,0.059,0.038,0.992,0
1570733932.496,0.059,0.039,0.989,0
1570733932.516,0.059,0.038,0.988,0
1570733932.536,0.056,0.037,0.991,0
1570733932.555,0.052,0.036,0.992,0
1570733932.575,0.052,0.038,0.992,0
1570733932.595,0.052,0.039,0.994,0
1570733932.615,0.047,0.039,0.991,0
1570733932.634,0.047,0.039,0.987,0
1570733932.654,0.049,0.040,0.993,0
1570733932.674,0.047,0.041,0.994,0
1570733932.693,0.047,0.042,0.993,0
1570733932.713,0.049,0.042,0.992,0
1570733932.733,0.048,0.041,0.992,0
1570733932.753,0.048,0.040,0.993,0
1570733932.772,0.049,0.040,0.995,0
1570733932.792,0.049,0.038,0.994,0
1570733932.812,0.049,0.038,0.990,0
1570733932.831,0.051,0.038,0.990,0
1570733932.851,0.052,0.038,0.991,0
1570733932.871,0.051,0.039,0.991,0
1570733932.890,0.050,0.040,0.991,0
1570733932.910,0.047,0.040,0.992,0
1570733932.930,0.044,0.039,0.992,0
1570733932.950,0.046,0.039,0.993,0
1570733932.969,0.046,0.040,0.993,0
1570733932.989,0.042,0.039,0.992,0
1570733933.009,0.042,0.037,0.991,0
1570733933.028,0.044,0.037,0.993,0
1570733933.048,0.045,0.037,0.994,0
1570733933.068,0.047,0.037,0.990,0
1570733933.088,0.047,0.041,0.995,0
1570733933.107,0.045,0.040,0.991,0
1570733933.127,0.044,0.039,0.990,0
1570733933.147,0.042,0.041,0.989,0
1570733933.166,0.042,0.038,0.990,0
1570733933.186,0.044,0.039,0.994,0
1570733933.206,0.046,0.039,0.996,0
1570733933.225,0.047,0.040,0.993,0
1570733933.245,0.048,0.042,0.989,0
1570733933.265,0.047,0.042,0.991,0
1570733933.285,0.046,0.041,0.993,0
1570733933.304,0.041,0.038,0.994,0
1570733933.324,0.040,0.038,0.994,0
1570733933.344,0.034,0.036,0.994,0
1570733933.363,0.038,0.038,0.989,0
1570733933.383,0.043,0.040,0.989,0
1570733933.403,0.047,0.043,0.993,0
1570733933.423,0.052,0.044,0.993,0
1570733933.442,0.049,0.043,0.993,0
1570733933.462,0.043,0.040,0.993,0
1570733933.482,0.042,0.038,0.992,0
1570733933.501,0.042,0.037,0.992,0
1570733933.521,0.046,0.037,0.990,0
1570733933.541,0.050,0.039,0.990,0
1570733933.561,0.053,0.040,0.994,0
1570733933.580,0.053,0.041,0.996,0
1570733933.600,0.049,0.040,0.993,0
1570733933.620,0.047,0.037,0.990,0
1570733933.639,0.046,0.037,0.989,0
1570733933.659,0.045,0.036,0.992,0
1570733933.679,0.047,0.038,0.993,0
1570733933.698,0.048,0.041,0.992,0
1570733933.718,0.045,0.042,0.993,0
1570733933.738,0.045,0.042,0.994,0
1570733933.758,0.042,0.039,0.991,0
1570733933.777,0.042,0.040,0.993,0
1570733933.797,0.044,0.036,0.991,0
1570733933.817,0.045,0.037,0.993,0
1570733933.836,0.042,0.037,0.993,0
1570733933.856,0.041,0.038,0.992,0
1570733933.876,0.041,0.038,0.986,0
1570733933.896,0.045,0.039,0.990,0
1570733933.915,0.045,0.038,0.995,0
1570733933.935,0.048,0.039,0.991,0
1570733933.955,0.053,0.042,0.992,0
1570733933.974,0.054,0.041,0.993,0
1570733933.994,0.049,0.039,0.993,0
1570733934.014,0.045,0.038,0.991,0
1570733934.033,0.043,0.038,0.992,0
1570733934.053,0.043,0.038,0.990,0
1570733934.073,0.041,0.037,0.993,0
1570733934.093,0.042,0.038,0.992,0
1570733934.112,0.041,0.038,0.990,0
1570733934.132,0.040,0.038,0.991,0
1570733934.152,0.044,0.040,0.993,0
1570733934.171,0.044,0.041,0.990,0
1570733934.191,0.047,0.040,0.994,0
1570733934.211,0.048,0.041,0.996,0
1570733934.231,0.048,0.040,0.990,0
1570733934.250,0.048,0.039,0.990,0
1570733934.270,0.045,0.037,0.991,0
1570733934.290,0.046,0.037,0.993,0
1570733934.309,0.047,0.039,0.991,0
1570733934.329,0.051,0.041,0.994,0
1570733934.349,0.049,0.041,0.994,0
1570733934.369,0.048,0.041,0.992,0
1570733934.388,0.046,0.041,0.993,0
1570733934.408,0.043,0.040,0.993,0
1570733934.428,0.042,0.040,0.991,0
1570733934.447,0.045,0.039,0.992,0
1570733934.467,0.044,0.038,0.992,0
1570733934.487,0.043,0.037,0.992,0
