timestamps,X,Y,Z,Marker0
1562354840.803,-0.172,0.202,0.963,0
1562354840.823,-0.173,0.200,0.961,0
1562354840.842,-0.177,0.197,0.959,0
1562354840.862,-0.181,0.195,0.956,0
1562354840.881,-0.184,0.192,0.960,0
1562354840.900,-0.185,0.192,0.961,0
1562354840.920,-0.185,0.194,0.964,0
1562354840.939,-0.186,0.194,0.965,0
1562354840.959,-0.183,0.197,0.973,0
1562354840.978,-0.181,0.197,0.972,0
1562354840.997,-0.176,0.197,0.972,0
1562354841.017,-0.169,0.197,0.973,0
1562354841.036,-0.151,0.197,0.967,0
1562354841.056,-0.148,0.198,0.964,0
1562354841.075,-0.150,0.199,0.963,0
1562354841.094,-0.159,0.195,0.955,0
1562354841.114,-0.166,0.193,0.952,0
1562354841.133,-0.178,0.195,0.950,0
1562354841.153,-0.176,0.195,0.949,0
1562354841.172,-0.184,0.195,0.947,0
1562354841.191,-0.193,0.194,0.950,0
1562354841.211,-0.198,0.195,0.957,0
1562354841.230,-0.203,0.197,0.960,0
1562354841.250,-0.205,0.199,0.961,0
1562354841.269,-0.206,0.201,0.962,0
1562354841.288,-0.201,0.203,0.959,0
1562354841.308,-0.194,0.204,0.959,0
1562354841.327,-0.188,0.203,0.963,0
1562354841.347,-0.183,0.202,0.961,0
1562354841.366,-0.178,0.200,0.959,0
1562354841.385,-0.174,0.199,0.962,0
1562354841.405,-0.169,0.200,0.964,0
1562354841.424,-0.165,0.200,0.966,0
1562354841.443,-0.162,0.202,0.962,0
1562354841.463,-0.162,0.201,0.961,0
1562354841.482,-0.166,0.200,0.962,0
1562354841.502,-0.169,0.197,0.962,0
1562354841.521,-0.174,0.195,0.963,0
1562354841.540,-0.177,0.192,0.959,0
1562354841.560,-0.180,0.191,0.957,0
1562354841.579,-0.184,0.189,0.957,0
1562354841.599,-0.177,0.194,0.965,0
1562354841.618,-0.176,0.197,0.967,0
1562354841.637,-0.172,0.200,0.968,0
1562354841.657,-0.171,0.201,0.965,0
1562354841.676,-0.172,0.200,0.966,0
1562354841.696,-0.173,0.196,0.966,0
1562354841.715,-0.172,0.195,0.960,0
1562354841.734,-0.171,0.195,0.957,0
1562354841.754,-0.169,0.194,0.965,0
1562354841.773,-0.170,0.192,0.968,0
1562354841.793,-0.172,0.192,0.963,0
1562354841.812,-0.170,0.192,0.956,0
1562354841.831,-0.169,0.194,0.958,0
1562354841.851,-0.169,0.194,0.965,0
1562354841.870,-0.164,0.196,0.963,0
1562354841.890,-0.165,0.200,0.966,0
1562354841.909,-0.165,0.201,0.968,0
1562354841.928,-0.165,0.201,0.971,0
1562354841.948,-0.167,0.203,0.965,0
1562354841.967,-0.169,0.197,0.963,0
1562354841.987,-0.166,0.196,0.962,0
1562354842.006,-0.166,0.193,0.963,0
1562354842.025,-0.161,0.195,0.966,0
1562354842.045,-0.158,0.195,0.973,0
1562354842.064,-0.155,0.198,0.978,0
1562354842.084,-0.154,0.194,0.977,0
1562354842.103,-0.153,0.190,0.963,0
1562354842.122,-0.154,0.190,0.975,0
1562354842.142,-0.157,0.186,0.982,0
1562354842.161,-0.154,0.187,0.968,0
1562354842.181,-0.149,0.185,0.959,0
1562354842.200,-0.153,0.186,0.953,0
1562354842.219,-0.156,0.188,0.955,0
1562354842.239,-0.168,0.187,0.959,0
1562354842.258,-0.174,0.190,0.960,0
1562354842.277,-0.184,0.191,0.957,0
1562354842.297,-0.190,0.191,0.956,0
1562354842.316,-0.194,0.192,0.958,0
1562354842.336,-0.202,0.203,0.961,0
1562354842.355,-0.199,0.203,0.967,0
1562354842.374,-0.189,0.195,0.964,0
1562354842.394,-0.187,0.193,0.956,0
1562354842.413,-0.177,0.196,0.964,0
1562354842.433,-0.172,0.192,0.968,0
1562354842.452,-0.149,0.194,0.968,0
