timestamps,X,Y,Z,Marker0
1570562720.146,-0.606,-0.890,-2.445,0
1570562720.166,-0.232,-0.561,-2.819,0
1570562720.185,-0.172,-0.202,-2.976,0
1570562720.205,-0.411,0.239,-3.006,0
1570562720.225,-0.561,0.516,-2.991,0
1570562720.244,-0.389,0.501,-2.834,0
1570562720.264,-0.217,0.284,-2.632,0
1570562720.284,-0.030,0.307,-2.325,0
1570562720.304,-0.127,0.501,-1.974,0
1570562720.323,-0.359,0.449,-1.757,0
1570562720.343,-0.710,0.135,-1.802,0
1570562720.363,-0.979,0.135,-2.295,0
1570562720.383,-1.084,0.239,-2.938,0
1570562720.402,-0.830,0.344,-3.492,0
1570562720.422,-0.561,0.680,-3.619,0
1570562720.442,-0.464,0.845,-3.417,0
1570562720.461,-0.576,1.054,-3.267,0
1570562720.481,-0.374,3.036,-3.335,0
1570562720.501,-0.037,3.619,-3.013,0
1570562720.521,0.194,3.185,-2.774,0
1570562720.540,0.105,2.609,-2.385,0
1570562720.560,-0.030,1.750,-2.206,0
1570562720.580,-0.411,1.204,-2.505,0
1570562720.599,-0.815,0.434,-3.013,0
1570562720.619,-0.807,0.187,-4.157,0
1570562720.639,-0.912,1.279,-4.725,0
1570562720.659,-0.815,1.742,-4.703,0
1570562720.678,-1.009,1.136,-4.105,0
1570562720.698,-1.331,0.284,-3.148,0
1570562720.718,-1.450,0.172,-2.482,0
1570562720.737,-1.473,0.396,-2.520,0
1570562720.757,-1.413,0.748,-2.699,0
1570562720.777,-1.032,1.226,-2.579,0
1570562720.797,-0.830,1.428,-2.684,0
1570562720.816,-0.695,1.129,-2.669,0
1570562720.836,-0.538,0.471,-2.153,0
1570562720.856,-0.815,0.793,-1.219,0
1570562720.876,-1.503,1.495,-0.209,0
1570562720.895,-2.213,2.744,0.628,0
1570562720.915,-2.617,3.940,1.712,0
1570562720.935,-3.133,4.404,2.482,0
1570562720.954,-3.813,4.172,2.654,0
1570562720.974,-4.314,3.694,2.153,0
1570562720.994,-4.695,3.178,1.114,0
1570562721.014,-4.606,2.594,-0.389,0
1570562721.033,-4.232,2.594,-1.675,0
1570562721.053,-3.851,3.312,-2.295,0
1570562721.073,-3.447,4.972,-1.944,0
1570562721.092,-3.365,7.365,-1.009,0
1570562721.112,-3.297,10.318,-0.718,0
1570562721.132,-2.976,14.004,-0.935,0
1570562721.152,-2.108,18.116,-1.637,0
1570562721.171,-0.643,22.356,-1.735,0
1570562721.191,0.994,27.358,-1.286,0
1570562721.211,2.108,32.674,-0.636,0
1570562721.230,2.318,36.876,0.523,0
1570562721.250,1.226,37.100,2.228,0
1570562721.270,-0.822,35.036,4.052,0
1570562721.290,-3.051,33.556,5.510,0
1570562721.309,-4.209,32.689,6.131,0
1570562721.329,-4.299,32.569,6.460,0
1570562721.349,-4.150,31.642,6.557,0
1570562721.369,-4.307,28.472,6.871,0
1570562721.388,-4.987,23.230,7.252,0
1570562721.408,-5.638,18.348,7.312,0
1570562721.428,-5.667,15.036,7.036,0
1570562721.447,-4.897,13.241,6.251,0
1570562721.467,-3.843,12.329,4.770,0
1570562721.487,-3.043,11.454,3.178,0
1570562721.507,-2.385,9.436,1.899,0
1570562721.526,-2.011,7.095,0.837,0
1570562721.546,-1.735,4.920,0.090,0
1570562721.566,-1.353,3.230,-0.060,0
1570562721.585,-0.979,2.086,0.546,0
1570562721.605,-1.114,1.533,1.421,0
1570562721.625,-1.892,1.682,2.019,0
1570562721.645,-2.662,1.608,1.929,0
1570562721.664,-3.110,1.600,1.361,0
1570562721.684,-3.036,1.907,0.464,0
1570562721.704,-2.303,2.146,-0.411,0
1570562721.723,-1.122,2.587,-1.062,0
1570562721.743,-0.411,3.723,-1.884,0
1570562721.763,-0.531,4.636,-2.938,0
1570562721.783,-0.650,4.680,-3.768,0
