timestamps,X,Y,Z,Marker0
1571688194.523,0.867,0.598,-2.288,0
1571688194.543,0.867,0.314,-2.198,0
1571688194.563,0.785,0.157,-2.101,0
1571688194.583,0.673,0.164,-1.989,0
1571688194.602,0.643,0.202,-1.802,0
1571688194.622,0.456,0.075,-1.727,0
1571688194.642,0.112,0.030,-1.809,0
1571688194.661,-0.060,0.284,-2.064,0
1571688194.681,-0.022,0.688,-2.445,0
1571688194.701,0.239,0.935,-2.879,0
1571688194.721,0.426,0.942,-3.088,0
1571688194.740,0.531,0.733,-2.983,0
1571688194.760,0.523,0.449,-2.684,0
1571688194.780,0.486,0.112,-2.265,0
1571688194.799,0.464,-0.127,-1.735,0
1571688194.819,0.389,-0.389,-1.406,0
1571688194.839,0.269,-0.591,-1.361,0
1571688194.858,0.284,-0.718,-1.450,0
1571688194.878,0.344,-0.658,-1.839,0
1571688194.898,0.411,-0.262,-2.258,0
1571688194.918,0.449,0.157,-2.497,0
1571688194.937,0.456,0.344,-2.647,0
1571688194.957,0.516,0.359,-2.512,0
1571688194.977,0.763,0.486,-2.280,0
1571688194.996,0.972,0.882,-1.974,0
1571688195.016,1.062,1.256,-1.697,0
1571688195.036,1.039,1.495,-1.578,0
1571688195.056,0.994,1.488,-1.735,0
1571688195.075,0.987,1.181,-1.907,0
1571688195.095,1.002,0.710,-2.019,0
1571688195.115,0.994,0.359,-2.228,0
1571688195.134,0.785,0.060,-2.206,0
1571688195.154,0.508,-0.127,-2.153,0
1571688195.174,0.464,-0.262,-2.079,0
1571688195.194,0.426,-0.329,-1.854,0
1571688195.213,0.411,-0.464,-1.824,0
1571688195.233,0.359,-0.471,-1.824,0
1571688195.253,0.434,-0.419,-2.071,0
1571688195.272,0.464,-0.307,-2.318,0
1571688195.292,0.351,-0.202,-2.340,0
1571688195.312,0.239,-0.045,-2.415,0
1571688195.331,0.269,0.067,-2.520,0
1571688195.351,0.277,0.187,-2.482,0
1571688195.371,0.322,0.254,-2.430,0
1571688195.391,0.366,0.239,-2.408,0
1571688195.410,0.322,0.284,-2.325,0
1571688195.430,0.307,0.269,-2.221,0
1571688195.450,0.359,0.247,-2.198,0
1571688195.469,0.449,0.262,-2.079,0
1571688195.489,0.643,0.329,-2.056,0
1571688195.509,0.733,0.680,-1.959,0
1571688195.529,0.695,0.830,-2.011,0
1571688195.548,0.807,0.733,-2.026,0
1571688195.568,1.069,0.538,-1.944,0
1571688195.588,1.099,0.187,-1.877,0
1571688195.607,0.935,-0.067,-1.682,0
1571688195.627,0.710,-0.329,-1.563,0
1571688195.647,0.464,-0.486,-1.608,0
1571688195.667,0.359,-0.770,-1.578,0
1571688195.686,0.142,-1.069,-1.645,0
1571688195.706,-0.075,-0.897,-1.809,0
1571688195.726,-0.052,-0.471,-2.146,0
1571688195.745,0.232,0.150,-2.475,0
1571688195.765,0.486,0.650,-2.677,0
1571688195.785,0.680,0.852,-2.789,0
1571688195.804,0.710,0.658,-2.647,0
1571688195.824,0.613,0.277,-2.258,0
1571688195.844,0.336,-0.232,-1.742,0
1571688195.864,0.269,-0.650,-1.346,0
1571688195.883,0.247,-0.972,-1.144,0
1571688195.903,0.232,-1.196,-1.129,0
1571688195.923,0.292,-1.279,-1.293,0
1571688195.942,0.232,-1.249,-1.608,0
1571688195.962,0.277,-1.077,-1.862,0
1571688195.982,0.277,-0.837,-2.056,0
1571688196.002,0.396,-0.852,-2.034,0
1571688196.021,0.576,-1.032,-1.847,0
1571688196.041,0.658,-0.890,-1.563,0
1571688196.061,0.718,-0.546,-1.406,0
1571688196.080,0.695,-0.075,-1.264,0
1571688196.100,0.680,0.359,-1.241,0
1571688196.120,0.740,0.583,-1.279,0
1571688196.140,0.748,0.718,-1.204,0
1571688196.159,0.748,0.628,-1.009,0
1571688196.179,0.793,0.456,-0.411,0
1571688196.199,0.710,0.314,0.553,0
1571688196.218,0.636,0.179,1.645,0
1571688196.238,0.591,0.090,2.579,0
1571688196.258,0.733,0.067,3.237,0
1571688196.277,0.860,0.164,3.439,0
1571688196.297,1.084,0.194,3.484,0
1571688196.317,1.107,0.187,3.611,0
1571688196.337,1.009,0.329,3.723,0
1571688196.356,1.009,0.501,4.082,0
1571688196.376,0.852,0.703,4.658,0
1571688196.396,0.680,1.047,5.219,0
1571688196.415,0.695,1.376,5.563,0
1571688196.435,0.718,1.645,5.727,0
1571688196.455,0.636,1.907,5.652,0
1571688196.475,0.538,1.907,5.211,0
1571688196.494,0.583,1.862,4.561,0
1571688196.514,0.658,1.809,3.918,0
1571688196.534,0.725,1.929,3.499,0
1571688196.553,0.650,2.251,3.065,0
1571688196.573,0.673,2.587,2.393,0
1571688196.593,0.897,2.759,1.667,0
1571688196.612,1.114,2.669,0.867,0
1571688196.632,1.136,2.594,-0.075,0
1571688196.652,0.875,2.490,-0.890,0
1571688196.672,0.650,2.295,-1.488,0
1571688196.691,0.344,2.026,-1.899,0
1571688196.711,-0.045,1.794,-2.228,0
1571688196.731,-0.493,1.510,-2.512,0
1571688196.750,-0.845,1.622,-2.550,0
1571688196.770,-1.017,2.378,-2.669,0
1571688196.790,-0.987,3.140,-2.594,0
1571688196.810,-0.912,3.791,-2.176,0
1571688196.829,-0.852,4.180,-1.914,0
1571688196.849,-0.890,4.307,-1.645,0
1571688196.869,-0.860,4.284,-1.548,0
1571688196.888,-0.680,4.269,-1.727,0
1571688196.908,-0.471,3.978,-1.892,0
1571688196.928,-0.456,3.208,-1.682,0
1571688196.948,-0.531,2.243,-1.204,0
1571688196.967,-0.673,1.308,-0.770,0
1571688196.987,-0.591,0.576,-0.292,0
1571688197.007,-0.531,0.067,0.232,0
1571688197.026,-0.493,-0.351,0.606,0
1571688197.046,-0.232,-0.508,0.673,0
1571688197.066,0.224,-0.351,0.538,0
1571688197.085,0.658,-0.179,0.164,0
1571688197.105,0.875,0.120,-0.411,0
1571688197.125,0.935,0.456,-1.002,0
1571688197.145,1.032,0.650,-1.398,0
1571688197.164,1.069,0.890,-1.615,0
1571688197.184,1.114,1.062,-1.630,0
1571688197.204,1.009,1.301,-1.413,0
1571688197.223,1.009,1.690,-1.234,0
1571688197.243,1.107,2.243,-0.837,0
1571688197.263,1.443,2.908,-0.366,0
1571688197.283,1.877,3.828,0.097,0
1571688197.302,2.288,4.778,0.501,0
1571688197.322,2.475,5.211,0.778,0
1571688197.342,2.445,4.837,0.927,0
1571688197.361,2.206,3.701,1.002,0
1571688197.381,2.041,2.355,0.987,0
1571688197.401,1.794,0.987,0.965,0
1571688197.421,1.450,-0.075,0.822,0
1571688197.440,1.271,-0.583,0.748,0
1571688197.460,1.189,-0.658,0.665,0
1571688197.480,1.114,-0.307,0.479,0
1571688197.499,1.024,0.037,0.329,0
1571688197.519,0.965,0.224,0.307,0
1571688197.539,0.950,0.404,0.299,0
1571688197.558,0.920,0.531,0.247,0
1571688197.578,0.950,0.546,-0.007,0
1571688197.598,0.785,0.329,-0.628,0
